Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
295000,0.12917809,2.522681,None,None,None,None,None,None,1.3862554,0.00027077278,None,None,None,None
300000,0.10706956,2.5371857,6.709049,0.04916363,0.5314639,0.17657581,0.8288985,0.23830475,1.3860348,0.00027035855,11.58491839717802,4981.0,11.266603369869038,850.4674918976697
305000,0.11085485,2.7461057,None,None,None,None,None,None,1.3856229,0.00026984047,None,None,15.08638034760952,469.4634156227112
310000,0.05771512,2.6372,None,None,None,None,None,None,1.3856229,0.00026922603,None,None,None,None
315000,0.08046775,2.5925968,None,None,None,None,None,None,1.3856229,0.00026876523,None,None,None,None
320000,-0.0009585274,2.619696,None,None,None,None,None,None,1.3856229,0.0002683044,None,None,None,None
325000,0.07923201,2.6302233,6.3603168,0.048320964,0.5204693,0.17275096,0.83401555,0.24364825,1.3845639,0.00026769005,None,None,None,None
330000,0.08487436,2.7202427,None,None,None,None,None,None,1.383505,0.00026722925,None,None,None,None
335000,0.08042908,2.8291898,None,None,None,None,None,None,1.383505,0.0002667684,None,None,None,None
340000,0.16483128,2.6958022,None,None,None,None,None,None,1.383505,0.000266154,None,None,None,None
345000,0.13682604,2.6110606,None,None,None,None,None,None,1.383505,0.00026569326,None,None,None,None
350000,-0.017510839,2.6724758,None,None,None,None,None,None,1.383505,0.0002652324,None,None,None,None
355000,0.1553442,2.838114,5.703612,0.051695064,0.49944758,0.16676143,0.84309745,0.0,1.3818492,0.0002647717,None,None,None,None
360000,0.31941432,3.1791782,None,None,None,None,None,None,1.3818492,0.00026435734,8.576804227539773,4981.0,8.405781576367604,760.5088055458936
365000,0.29474932,3.1738448,None,None,None,None,None,None,1.3818493,0.0002638392,None,None,10.458053646143526,441.2088780403137
370000,0.22921698,3.1071107,None,None,None,None,None,None,1.3818492,0.00026322482,None,None,None,None
375000,0.08765137,3.0285258,None,None,None,None,None,None,1.3818492,0.00026276402,None,None,None,None
380000,0.22325726,3.1769054,8.652081,0.050483976,0.545237,0.18688846,0.8289038,0.0,1.3806814,0.00026230325,None,None,None,None
385000,0.2223738,3.0257177,None,None,None,None,None,None,1.3795137,0.00026168884,None,None,None,None
390000,0.2955443,3.3121557,None,None,None,None,None,None,1.3795137,0.00026122804,None,None,None,None
395000,0.20773952,3.3331313,None,None,None,None,None,None,1.3795137,0.0002607672,None,None,None,None
400000,0.11380814,3.0923064,None,None,None,None,None,None,1.3795137,0.00026030646,None,None,None,None
405000,0.21446106,3.1760907,None,None,None,None,None,None,1.3795137,0.00025984563,None,None,None,None
410000,0.20068944,3.3161263,4.5519347,0.047697943,0.50432,0.16942751,0.8387466,0.0,1.3796482,0.00025923122,None,None,None,None
415000,0.2668989,3.4336812,None,None,None,None,None,None,1.3796482,0.00025877036,None,None,None,None
420000,0.1511468,3.326039,None,None,None,None,None,None,1.3796482,0.00025835613,11.518818265391625,4981.0,12.705852741693063,791.8863140236248
425000,0.1761555,3.4047093,None,None,None,None,None,None,1.3796482,0.00025783805,None,None,-1.538557987427339,297.86374616622925
430000,0.16248818,3.1645012,None,None,None,None,None,None,1.3796482,0.0002572236,None,None,None,None
435000,0.21608582,3.4166603,3.3994033,0.050239313,0.44419742,0.15180078,0.86042756,0.0,1.3790549,0.0002567628,None,None,None,None
440000,0.18698032,3.5555134,None,None,None,None,None,None,1.3790549,0.000256302,None,None,None,None
445000,0.31141096,3.5961487,None,None,None,None,None,None,1.3790549,0.00025568763,None,None,None,None
450000,0.2291971,3.3847122,None,None,None,None,None,None,1.3790549,0.00025522683,None,None,None,None
455000,0.17518993,3.5255864,None,None,None,None,None,None,1.3790549,0.00025476603,None,None,None,None
460000,0.2368701,3.5770946,None,None,None,None,None,None,1.3790549,0.00025430525,None,None,None,None
465000,0.234103,3.7112744,8.896464,0.04706905,0.48062053,0.1676902,0.84937435,0.0,1.3791054,0.00025384442,None,None,None,None
470000,0.22358675,3.6584618,None,None,None,None,None,None,1.3791054,0.00025323,None,None,None,None
475000,0.21045129,3.702057,None,None,None,None,None,None,1.3791054,0.00025276927,None,None,None,None
480000,0.13442805,3.3457284,None,None,None,None,None,None,1.3791054,0.00025235495,10.167251641812072,4981.0,10.17143759673292,731.807207270102
485000,0.2540747,3.7698772,None,None,None,None,None,None,1.3791054,0.00025183684,None,None,10.12120760884136,471.57896280288696
490000,0.088817365,3.35693,5.9741516,0.051754598,0.4252769,0.14800052,0.86638606,0.0,1.3771688,0.0002512224,None,None,None,None
495000,0.251126,3.835617,None,None,None,None,None,None,1.3771688,0.00025076163,None,None,None,None
500000,0.27067432,3.7810616,None,None,None,None,None,None,1.3771688,0.00025030086,None,None,None,None
505000,0.076068364,3.4400616,None,None,None,None,None,None,1.3771688,0.00024968642,None,None,None,None
510000,0.1483754,3.894345,None,None,None,None,None,None,1.3771688,0.00024922562,None,None,None,None
515000,0.098136686,3.6329174,4.315563,0.04813756,0.37357387,0.13359626,0.8862535,0.0,1.3768898,0.00024876482,None,None,None,None
520000,0.24252209,4.1170797,None,None,None,None,None,None,1.3766109,0.00024830404,None,None,None,None
525000,0.16627385,4.074408,None,None,None,None,None,None,1.3766109,0.0002478432,None,None,None,None
530000,0.25338778,3.7536657,None,None,None,None,None,None,1.3766109,0.0002472288,None,None,None,None
535000,0.22014432,4.206208,None,None,None,None,None,None,1.3766109,0.00024676806,None,None,None,None
540000,0.20255679,3.6961608,None,None,None,None,None,None,1.3766109,0.00024635374,10.302505964298083,4981.0,10.02521385411224,672.1058588786559
545000,0.2313809,4.176371,7.3396816,0.050648015,0.3893442,0.14254223,0.87968713,0.0,1.3746697,0.00024583563,None,None,13.352718081325293,325.2252631187439
550000,0.16015886,3.8941076,None,None,None,None,None,None,1.3746699,0.00024522125,None,None,None,None
555000,0.13487537,4.225686,None,None,None,None,None,None,1.3746699,0.00024476042,None,None,None,None
560000,0.24471341,3.9340622,None,None,None,None,None,None,1.3746699,0.00024429965,None,None,None,None
565000,0.20301011,3.7165089,None,None,None,None,None,None,1.3746699,0.00024368524,None,None,None,None
570000,0.031873494,3.7119377,7.274175,0.04784432,0.3598484,0.12895182,0.89164215,0.0,1.3749493,0.00024322444,None,None,None,None
575000,0.07068767,3.8187027,None,None,None,None,None,None,1.3749493,0.00024276364,None,None,None,None
580000,0.1689261,3.7451026,None,None,None,None,None,None,1.3749493,0.00024230288,None,None,None,None
585000,0.07853264,3.9536233,None,None,None,None,None,None,1.3749493,0.00024184203,None,None,None,None
590000,0.20644048,3.963146,None,None,None,None,None,None,1.3749493,0.00024122765,None,None,None,None
595000,0.043220274,3.7148976,None,None,None,None,None,None,1.3749493,0.00024076687,None,None,None,None
600000,0.13989502,3.872184,5.517216,0.046964895,0.32112527,0.11785466,0.9025674,0.0,1.3714958,0.00024035254,7.7123123993193685,4981.0,7.828845062430694,608.9892070185055
605000,0.17268749,4.5324106,None,None,None,None,None,None,1.3714958,0.00023983445,None,None,6.430451765656471,243.2801833152771
610000,0.15926294,3.924645,None,None,None,None,None,None,1.3714958,0.00023922007,None,None,None,None
615000,0.32548517,4.9046392,None,None,None,None,None,None,1.3714958,0.00023875922,None,None,None,None
620000,0.23177198,4.1876435,None,None,None,None,None,None,1.3714958,0.00023829842,None,None,None,None
625000,0.25661612,3.7001185,8.640964,0.051124375,0.3683219,0.13511379,0.8877452,0.0,1.3714916,0.00023768409,None,None,None,None
630000,0.25997213,4.1946125,None,None,None,None,None,None,1.3714916,0.00023722324,None,None,None,None
635000,0.19907048,4.180977,None,None,None,None,None,None,1.3714916,0.00023676244,None,None,None,None
640000,0.15931194,4.031356,None,None,None,None,None,None,1.3714916,0.00023630167,None,None,None,None
