Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
65000,-0.10807815,2.4845216,0.00029621727,-44.87912374587419,4961.0,-44.87912360283857
70000,-0.15634032,2.4845047,0.00029593846,None,None,None
75000,-0.15055367,2.484489,0.000295662,None,None,None
80000,-0.13222304,2.4845073,0.00029533947,None,None,None
85000,-0.09178985,2.4845178,0.00029501691,None,None,None
90000,-0.11986645,2.484439,0.0002947404,None,None,None
95000,-0.18213135,2.484402,0.00029446394,None,None,None
100000,-0.17136198,2.4843948,0.00029414138,None,None,None
105000,-0.12628949,2.4843917,0.0002938188,None,None,None
110000,-0.19517036,2.4843874,0.00029354234,None,None,None
115000,-0.22749314,2.4844012,0.00029326582,None,None,None
120000,-0.23891011,2.4843872,0.0002929433,None,None,None
125000,-0.16979559,2.484394,0.00029261652,-47.05619870417286,4961.0,-47.05619891593233
130000,-0.112733155,2.4837854,0.00029233776,None,None,None
135000,-0.23117001,2.4824991,0.00029206133,None,None,None
140000,-0.1869479,2.4826727,0.00029173872,None,None,None
145000,-0.34472334,2.4823549,0.0002914162,None,None,None
150000,-0.22198871,2.4825053,0.0002911397,None,None,None
155000,-0.16375251,2.4827125,0.00029086322,None,None,None
160000,-0.10458864,2.4827344,0.00029054063,None,None,None
165000,-0.07159076,2.4826822,0.00029021807,None,None,None
170000,-0.17488728,2.4825826,0.00028994164,None,None,None
175000,-0.20258388,2.4793346,0.00028966513,None,None,None
180000,-0.17512752,2.47966,0.0002893426,None,None,None
185000,-0.18081038,2.4796066,0.00028901582,-23.862742695879813,4961.0,-23.86274276316787
190000,-0.30128762,2.4790094,0.00028873704,None,None,None
195000,-0.3499025,2.4794424,0.0002884606,None,None,None
200000,-0.14025609,2.4798565,0.00028818412,None,None,None
205000,-0.21515289,2.4794571,0.00028786153,None,None,None
210000,-0.10683896,2.4797964,0.00028753898,None,None,None
215000,-0.13842258,2.476961,0.0002872625,None,None,None
220000,-0.40752944,2.4757574,0.00028693996,None,None,None
225000,-0.24337101,2.4763222,0.00028661735,None,None,None
230000,-0.25585315,2.476025,0.00028634092,None,None,None
235000,-0.2536691,2.475794,0.00028606443,None,None,None
240000,-0.047340214,2.4761164,0.00028574184,None,None,None
245000,-0.40272722,2.4752522,0.00028541507,-24.036369307897985,4961.0,-24.03636930603534
250000,-0.14296964,2.476614,0.0002851363,None,None,None
255000,-0.34269404,2.473443,0.00028485988,None,None,None
260000,-0.21294038,2.4681604,0.00028458334,None,None,None
265000,-0.33008045,2.4668267,0.00028426084,None,None,None
270000,-0.2327279,2.4669325,0.00028393828,None,None,None
275000,-0.2935105,2.4672694,0.00028366176,None,None,None
280000,-0.4001216,2.4668748,0.00028333924,None,None,None
285000,-0.25692406,2.4669201,0.00028301668,None,None,None
290000,-0.30674267,2.4678698,0.0002827402,None,None,None
295000,-0.4562558,2.4669333,0.00028246368,None,None,None
300000,-0.26107642,2.456052,0.00028214115,None,None,None
305000,-0.29362878,2.4525387,0.00028181437,-27.048084305948578,4961.0,-27.04808421448494
310000,-0.333135,2.4557776,0.00028153558,None,None,None
315000,-0.36247194,2.452418,0.00028125916,None,None,None
320000,-0.22546253,2.4549425,0.00028098267,None,None,None
325000,-0.33320025,2.453271,0.00028066008,None,None,None
330000,-0.28384033,2.451064,0.00028033755,None,None,None
335000,-0.304126,2.4553633,0.00028006104,None,None,None
340000,-0.28853995,2.459346,0.00027973854,None,None,None
345000,-0.33963427,2.4607618,0.00027941592,None,None,None
350000,-0.16606435,2.4610875,0.00027913947,None,None,None
355000,-0.18919532,2.464436,0.00027886298,None,None,None
360000,-0.08128347,2.4638836,0.00027854042,None,None,None
365000,-0.24519466,2.4606187,0.00027821364,-19.90977605440033,4961.0,-19.909776168720175
370000,-0.08779579,2.4642856,0.00027793492,None,None,None
375000,-0.3409706,2.4587908,0.00027765843,None,None,None
380000,-0.27939427,2.4584272,0.0002773819,None,None,None
385000,-0.068215474,2.4621484,0.00027705936,None,None,None
390000,-0.085830905,2.4617078,0.00027673686,None,None,None
395000,-0.1526322,2.460072,0.00027646034,None,None,None
400000,-0.26338753,2.4563403,0.00027618386,None,None,None
405000,-0.020816674,2.4613883,0.0002758613,None,None,None
410000,-0.0591941,2.4675145,0.00027553877,None,None,None
415000,-0.2721238,2.4559267,0.00027526225,None,None,None
420000,-0.15541768,2.4582837,0.0002749397,None,None,None
425000,-0.11276109,2.4470797,0.00027461292,-10.339376409227649,4961.0,-10.339376285672188
430000,-0.14523247,2.447639,0.00027433416,None,None,None
435000,-0.14122099,2.4452913,0.0002740577,None,None,None
440000,-0.050305333,2.4490192,0.00027378122,None,None,None
445000,-0.21539333,2.4439707,0.00027345866,None,None,None
450000,-0.23899098,2.4410534,0.0002731361,None,None,None
455000,-0.09367789,2.4481306,0.00027285962,None,None,None
460000,-0.08186635,2.4499197,0.00027258316,None,None,None
465000,-0.082632944,2.4449112,0.00027226054,None,None,None
470000,-0.1610081,2.4371147,0.00027193804,None,None,None
