Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
295000,16.141455,0.08940573,-16.115198,0.0132810455,0.013597478,0.17381907,6.3959723,0.00029999999,None,None,None
300000,16.26612,0.08026669,-16.23175,0.028867904,0.029001933,0.17131399,6.418915,0.00029999999,None,None,None
305000,16.282017,0.005640593,-16.341766,0.001265469,0.0011903738,0.16805246,6.4518294,0.00029999996,None,None,None
310000,16.496176,0.003129158,-16.471218,0.0008509298,0.00082129525,0.16336851,6.447081,0.00029999999,-21.954155426006764,4981.0,-21.954155430197716
315000,16.572088,0.0028733758,-16.61899,0.000785799,0.0006911365,0.1583627,6.4288397,0.00029999996,None,None,None
320000,16.664549,0.0032417066,-16.74588,0.00085694133,0.00081346004,0.15444791,6.4661565,0.00029999996,-31.21172740797258,4981.0,-31.21172728736631
325000,16.970491,0.003057988,-16.830914,0.00087472325,0.0008551862,0.15123059,6.4289885,0.00029999999,None,None,None
330000,17.00604,0.0038084486,-17.018553,0.00090967555,0.0009882606,0.14927018,6.431247,0.00029999999,-7.02521488443017,701.0,-7.025214672088623
335000,17.228285,0.04191834,-17.163769,0.017146233,0.017195687,0.14617021,6.4014134,0.00029999999,None,None,None
340000,17.275057,0.02195163,-17.268503,0.0038741285,0.0037796919,0.14396979,6.43963,0.00029999996,None,None,None
345000,17.128942,0.00618164,-17.266489,0.0013523296,0.0012688149,0.1427878,6.50147,0.00029999999,-30.42712046019733,4981.0,-30.427120447158813
350000,17.188568,0.029175313,-17.315138,0.0113647785,0.011449962,0.1391811,6.4708714,0.00029999996,-12.252980154007673,2479.0,-12.25297999382019
355000,17.331877,0.0038850096,-17.379543,0.00096256397,0.0009808275,0.1353049,6.448705,0.00029999999,-18.80267954384908,3629.0,-18.802679747343063
360000,17.466267,0.0028737038,-17.450075,0.0008644328,0.0008515308,0.13328993,6.4649706,0.00029999999,None,None,None
365000,17.530722,0.105434775,-17.514027,0.043741424,0.044464115,0.13181797,6.4121547,0.00029999999,None,None,None
370000,17.562204,0.01823145,-17.56401,0.0026490188,0.0028890686,0.13099004,6.445979,0.00029999999,-38.767134591937065,4981.0,-38.767134308815
375000,17.440142,0.0040789377,-17.55563,0.0009990847,0.0010421994,0.12952654,6.4291058,0.00029999999,-23.354792971163988,3420.0,-23.354793310165405
380000,17.55085,0.07653375,-17.593164,0.032117825,0.03247522,0.12672283,6.413911,0.00029999999,None,None,None
385000,17.540058,0.27051973,-17.624866,0.11220995,0.113247536,0.12421814,6.452772,0.00029999996,None,None,None
390000,17.74272,0.0071885036,-17.711426,0.0014197946,0.0014845467,0.121241294,6.455808,0.00029999999,-44.46564617753029,4981.0,-44.465646147727966
395000,17.829502,0.0023532955,-17.81979,0.00070744206,0.0007183498,0.11786645,6.4810143,0.00029999999,None,None,None
400000,17.894701,0.0031402826,-17.878508,0.0011765482,0.001113844,0.11635301,6.444362,0.00029999999,-27.241557011513837,4981.0,-27.241557138306753
405000,17.929981,0.0034270065,-17.951778,0.0011174921,0.0011458383,0.11500096,6.4454055,0.00029999999,None,None,None
410000,18.034761,0.004482762,-18.011616,0.0013645868,0.0014544128,0.11305014,6.4312315,0.00029999999,-51.44552364945412,4981.0,-51.44552302360535
415000,18.083052,0.0035072297,-18.068897,0.0010840808,0.0011677513,0.11090193,6.4452963,0.00029999999,None,None,None
420000,18.137033,0.0034582235,-18.149048,0.0011301562,0.0011969222,0.10879078,6.465354,0.00029999996,None,None,None
425000,18.210247,0.0030789108,-18.19757,0.0010882937,0.0011254058,0.106979035,6.4839706,0.00029999996,-15.815453135874122,3329.5,-26.782671630382538
430000,18.04317,0.0030675915,-18.215223,0.0010903166,0.001100276,0.1052749,6.4252687,0.00029999996,-49.512590643018484,4981.0,-27.18041291832924
