Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,0.1258744,1.4183034,0.00029955542,0.0007004866,0.067109354,-0.47777778489722145,993.0,-0.47777778489722145
15000,0.07990526,1.4195869,0.0002992521,0.00040815218,0.07315737,None,None,None
20000,0.0361227,1.4224534,0.0002989461,0.00038633,0.06702866,-0.46666667362054187,992.0,-0.46666667362054187
25000,0.0089799175,1.4239093,0.000298643,0.00028837204,0.06908828,None,None,None
30000,-0.010649577,1.4242344,0.00029833714,0.0003241013,0.06444473,-0.5888888976640172,992.0,-0.5888888984918594
35000,-0.020930933,1.4249431,0.00029806845,0.0003637772,0.07152699,None,None,None
40000,-0.029205255,1.4261277,0.0002977629,0.00023201248,0.069706544,-0.5444444525572989,992.0,-0.5444444533851411
45000,-0.036920436,1.4279534,0.00029746443,0.00035300202,0.068300195,-0.5333333412806193,992.0,-0.5250000087544322
50000,-0.033827525,1.4285489,0.00029716123,0.00020534552,0.06717326,None,None,-0.6000000089406967
55000,-0.040255524,1.4268731,0.00029685488,0.0002640852,0.07159184,-0.41111111723714405,993.0,-0.41111111723714405
60000,-0.029280286,1.4269308,0.00029655156,0.00024848274,0.06516052,None,None,None
65000,-0.034437157,1.4262395,0.00029624556,0.0003227333,0.060782403,-0.47777778489722145,992.0,-0.47777778572506374
70000,-0.021936651,1.4254425,0.00029594247,0.00021892674,0.06507989,None,None,None
75000,-0.022282364,1.4253943,0.00029563656,0.0002402835,0.060908787,-0.2888888931936688,992.0,-0.2888888931936688
80000,-0.030764313,1.424743,0.00029536788,0.00022122308,0.07117477,None,None,None
85000,-0.028826283,1.4251091,0.00029506237,0.00017611505,0.06639655,-0.34444444957706666,992.0,-0.34444444957706666
90000,-0.027762428,1.4248087,0.00029476386,0.00018472242,0.08117124,-0.30000000447034836,992.0,-0.3250000048428774
95000,-0.021801194,1.4258873,0.0002944607,0.0002156804,0.06135728,None,None,-0.10000000149011612
100000,-0.027175685,1.4253216,0.00029415434,0.00020852749,0.06623953,-0.26666667064030963,993.0,-0.26666667064030963
105000,-0.022055686,1.4237736,0.00029385104,8.379202e-05,0.064825274,None,None,None
110000,-0.021724721,1.4222875,0.00029354505,0.00015105342,0.061584845,-0.1777777804268731,992.0,-0.1777777804268731
115000,-0.029187918,1.4238142,0.0002932419,0.00015799982,0.06553682,None,None,None
120000,-0.02373841,1.4248077,0.00029293608,0.00013676632,0.069780536,-0.18888889170355266,992.0,-0.18888889170355266
125000,-0.031136118,1.4246917,0.00029266736,0.00018008213,0.06704068,None,None,None
130000,-0.029579299,1.4234598,0.00029236186,0.00019044608,0.075930595,-0.31111111574702793,992.0,-0.31111111574702793
135000,-0.02919205,1.4223521,0.0002920633,0.00022794046,0.065510094,-0.34444444957706666,992.0,-0.375000006519258
140000,-0.025769638,1.4207121,0.00029176017,0.00015157006,0.076924175,None,None,-0.10000000149011612
145000,-0.028926197,1.4214766,0.0002914538,0.00016277151,0.06331616,-0.30000000447034836,993.0,-0.30000000447034836
150000,-0.031692393,1.4218769,0.0002911505,0.00014400794,0.064952254,None,None,None
155000,-0.031090224,1.4191101,0.0002908445,0.00014820325,0.064502046,-0.26666667064030963,992.0,-0.26666667064030963
160000,-0.040883143,1.4192306,0.0002905414,0.00013056584,0.06831496,None,None,None
165000,-0.03725989,1.4183309,0.00029023553,0.00012468245,0.06773382,-0.2444444480869505,992.0,-0.2444444480869505
170000,-0.030146724,1.4164853,0.00028996682,0.00014771678,0.06522401,None,None,None
175000,-0.033333052,1.4145662,0.0002896613,0.00014675471,0.060414933,-0.25555555936363006,992.0,-0.25555555936363006
180000,-0.035377588,1.4125193,0.00028936277,0.00014737368,0.06621057,-0.2222222255335914,992.0,-0.20000000298023224
185000,-0.03231524,1.4130768,0.00028905962,0.00016875281,0.06462877,None,None,-0.4000000059604645
190000,-0.038747184,1.4151115,0.00028875325,0.00019480448,0.070062846,-0.2777777819169892,993.0,-0.2777777819169892
195000,-0.040582843,1.4153297,0.00028844996,0.00011479214,0.07195175,None,None,None
200000,-0.029469963,1.4169371,0.00028814393,0.00018330486,0.06291613,-0.2777777819169892,992.0,-0.2777777819169892
205000,-0.0280444,1.4173973,0.00028784084,0.00010476014,0.06719012,None,None,None
210000,-0.024682507,1.4172249,0.00028753496,8.795735e-05,0.065702446,-0.2111111142569118,992.0,-0.2111111142569118
215000,-0.025176035,1.417597,0.00028726627,0.00012069663,0.061035708,None,None,None
220000,-0.028638482,1.4165959,0.00028696074,0.00014145777,0.06894177,-0.1777777804268731,992.0,-0.1777777804268731
225000,-0.027967218,1.4167316,0.00028666225,0.00013851246,0.06502061,-0.2222222255335914,992.0,-0.22500000335276127
230000,-0.024697863,1.416807,0.00028635908,0.00014610264,0.06744337,None,None,-0.20000000298023224
235000,-0.029518308,1.4149572,0.0002860527,0.00017687562,0.06842166,-0.2777777819169892,993.0,-0.2777777819169892
240000,-0.030665489,1.41413,0.0002857494,8.975655e-05,0.07126519,None,None,None
245000,-0.039779384,1.4134707,0.00028544344,0.00014930245,0.06720555,-0.2111111142569118,992.0,-0.2111111142569118
250000,-0.038382296,1.4136022,0.0002851403,0.00020103644,0.06721448,None,None,None
255000,-0.038654245,1.4135673,0.00028483444,0.00014173359,0.068377726,-0.3333333383003871,992.0,-0.3333333383003871
260000,-0.03834589,1.4126911,0.00028456576,0.00012790067,0.06709014,None,None,None
265000,-0.030497616,1.4109222,0.0002842602,0.00013568008,0.071095474,-0.25555555936363006,992.0,-0.25555555936363006
270000,-0.02904826,1.4083209,0.0002839617,0.00017649587,0.064202316,-0.31111111574702793,992.0,-0.3375000050291419
275000,-0.02704165,1.4078461,0.00028365853,0.00020814563,0.07181341,None,None,-0.10000000149011612
280000,-0.030345146,1.40844,0.00028335222,0.00017150471,0.06657592,-0.3333333383003871,993.0,-0.3333333391282294
285000,-0.03806803,1.4085634,0.0002830489,0.00018646943,0.065171234,None,None,None
290000,-0.040147986,1.4082291,0.00028274287,0.00015136405,0.0761728,-0.31111111574702793,992.0,-0.31111111574702793
295000,-0.038804404,1.4074389,0.00028243975,0.00019748409,0.06829013,None,None,None
300000,-0.04195278,1.4072131,0.0002821339,0.00016466423,0.07588124,-0.3333333383003871,992.0,-0.3333333383003871
305000,-0.038953144,1.4064045,0.00028186518,0.00016977191,0.071080714,None,None,None
310000,-0.03510643,1.4073206,0.00028155968,0.00013655853,0.06349258,-0.31111111574702793,992.0,-0.31111111574702793
315000,-0.030114833,1.4083419,0.0002812612,0.00017418986,0.07568404,-0.31111111574702793,992.0,-0.3250000048428774
320000,-0.03763402,1.4087133,0.000280958,0.00019440317,0.07543799,None,None,-0.20000000298023224
325000,-0.041729975,1.4084502,0.00028065164,0.00018238807,0.07327549,-0.3555555608537462,993.0,-0.3555555608537462
330000,-0.05225378,1.4102688,0.00028034832,0.00023191879,0.07093619,None,None,None
335000,-0.04809657,1.411471,0.0002800423,0.00013593526,0.07523035,-0.34444444957706666,992.0,-0.3444444504049089
340000,-0.04496771,1.4123285,0.0002797392,0.00012880913,0.06728712,None,None,None
