Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
20170000,0.26343164,1.3677324,5.8025675e-05,0.3332488943746152,4981.0,0.3332488870041238,0.0068041114,0.020331139
20180000,0.19319613,1.367694,5.7908444e-05,None,None,None,0.0051309536,0.018300533
20190000,0.16913693,1.367619,5.7784026e-05,None,None,None,0.0038537907,0.014253611
20200000,0.1439547,1.3675305,5.7659607e-05,None,None,None,0.003396359,0.01719784
20210000,0.12815012,1.3674718,5.7540852e-05,0.5343399832806439,4981.0,0.5343399979174137,0.0027549455,0.010538454
20220000,0.1098612,1.3674768,5.7423622e-05,None,None,None,None,None
20230000,0.085709326,1.3675193,5.7299196e-05,None,None,None,0.0029071919,0.010064074
20240000,0.07678112,1.3675689,5.717479e-05,None,None,None,0.0028717655,0.014217165
20250000,0.07411813,1.3675876,5.7064193e-05,None,None,None,0.0022949947,0.013402129
20260000,0.06858378,1.3675963,5.6945428e-05,0.4840110920933019,4981.0,0.4840110752524601,0.001901513,0.022010589
20270000,0.046055745,1.3676128,5.6828198e-05,None,None,None,0.0018018533,0.018956674
20280000,0.049040288,1.3676496,5.6703786e-05,None,None,None,0.0018242873,0.019276388
20290000,0.04870894,1.3676766,5.6579374e-05,None,None,None,0.0018479985,0.014719326
20300000,0.044708736,1.3676606,5.6460616e-05,0.35785984978810526,4981.0,0.3578598348216878,0.0015542567,0.016641902
20310000,0.034458313,1.3676592,5.6343408e-05,None,None,None,None,None
20320000,0.025918288,1.3676493,5.6218985e-05,None,None,None,0.0018169129,0.016379325
20330000,0.020851199,1.3676325,5.609457e-05,None,None,None,0.0017858013,0.012219771
20340000,0.03766037,1.3676645,5.598398e-05,None,None,None,0.0014695412,0.008679292
20350000,0.0279183,1.3677026,5.5865235e-05,0.5404012093610251,4981.0,0.5404012317044867,0.0012683906,0.015308738
20360000,0.02566418,1.3677,5.574801e-05,None,None,None,0.0015837377,0.021316942
20370000,0.01979204,1.3676753,5.562359e-05,None,None,None,0.00126054,0.015946258
20380000,0.015997367,1.3676686,5.549917e-05,None,None,None,0.001373134,0.018778227
20390000,0.025903173,1.3676883,5.5380428e-05,0.7096368727253233,4981.0,0.7096368802918328,0.001153587,0.017878832
20400000,0.01587015,1.3676988,5.526319e-05,None,None,None,None,None
20410000,0.012235343,1.3677223,5.5138767e-05,None,None,None,0.0011672049,0.0096392995
20420000,0.010966674,1.3676943,5.5014356e-05,None,None,None,0.0012488615,0.016221704
20430000,0.0108801825,1.3676976,5.4903765e-05,None,None,None,0.001655176,0.018129127
20440000,0.022116335,1.3677126,5.4785e-05,0.07788800328573113,4981.0,0.07788800273556262,0.0013831031,0.016946226
20450000,0.009062042,1.3677009,5.466777e-05,None,None,None,0.001100529,0.02141299
20460000,0.0062402636,1.3676724,5.454335e-05,None,None,None,0.0010689026,0.028497454
20470000,0.000614907,1.3676498,5.4418946e-05,None,None,None,0.00096702925,0.01700593
20480000,0.0025978282,1.3676312,5.430019e-05,0.48274423526491717,4981.0,0.4827442288191782,0.0010376727,0.020187953
20490000,0.013003654,1.3676535,5.4182972e-05,None,None,None,None,None
20500000,0.008470656,1.3676994,5.405856e-05,None,None,None,0.0011138996,0.021314254
20510000,0.013096568,1.3676605,5.393414e-05,None,None,None,0.0009815933,0.013132696
20520000,0.009122652,1.3676262,5.3823547e-05,None,None,None,0.0011351259,0.012761192
20530000,0.020508477,1.3676288,5.37048e-05,0.3909138463847184,4981.0,0.3909138517661227,0.0013131613,0.019568497
20540000,0.015169523,1.367653,5.3587573e-05,None,None,None,0.0011761156,0.016749004
20550000,0.0065801153,1.3676572,5.3463154e-05,None,None,None,0.0009767365,0.013652393
20560000,-0.0041188444,1.3676229,5.333874e-05,None,None,None,0.0009588434,0.014104272
20570000,0.018868687,1.3675746,5.321999e-05,0.2936736664133974,4981.0,0.2936736521207624,0.0009595635,0.01695991
20580000,0.010046656,1.3675612,5.3102754e-05,None,None,None,None,None
20590000,0.01039988,1.3675975,5.2978336e-05,None,None,None,0.0014567872,0.012620095
20600000,0.007363586,1.3676547,5.2853924e-05,None,None,None,0.0011041986,0.012456328
20610000,0.009470465,1.3676944,5.274333e-05,None,None,None,0.0008430261,0.016662316
20620000,0.009186929,1.3677307,5.2624568e-05,0.11530555405863493,4981.0,0.11530552726859848,0.0009447654,0.016924703
20630000,0.00331724,1.3677493,5.2507345e-05,None,None,None,0.001256075,0.018698866
20640000,0.006583706,1.3677514,5.238292e-05,None,None,None,0.0009067681,0.013532228
20650000,-0.0005854005,1.3677406,5.225851e-05,None,None,None,0.0009256885,0.011991452
20660000,-0.0020915496,1.3677232,5.213976e-05,0.5216123786316041,4981.0,0.5216123780442609,0.00092883053,0.01224059
20670000,0.00740935,1.3677019,5.2022544e-05,None,None,None,None,None
20680000,0.012320743,1.367646,5.1898125e-05,None,None,None,0.0009256221,0.015003511
20690000,0.0071475664,1.3675822,5.1773706e-05,None,None,None,0.00078224373,0.020636033
20700000,0.006165322,1.367578,5.166311e-05,None,None,None,0.00068954995,0.01673603
20710000,0.013589915,1.3676132,5.1544368e-05,0.5429161039137651,4981.0,0.5429160845362477,0.0009791568,0.017872391
