Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
5000,1.4189973,0.00029973668,-0.003526168,0.0010868339,0.06895965,-1.0,576.0,-1.0
10000,1.4198,0.0002992863,-0.023498429,0.013121098,0.06673947,-1.0285714289971761,613.4285714285714,-1.0285714289971761
15000,1.4195625,0.00029874002,-0.096082866,0.010068101,0.063141026,-1.0545454553582452,710.2727272727273,-1.0545454553582452
20000,1.4195449,0.00029826356,-0.14487365,0.005240818,0.072642155,-1.0,425.5,-1.0
25000,1.4197627,0.00029779034,-0.14566523,0.0053573996,0.066083446,-0.875,630.5,-0.875
30000,1.4206953,0.00029724615,-0.15346168,0.0038034336,0.0708198,-1.080000001192093,827.8,-1.080000001192093
35000,1.4199617,0.00029675546,-0.17050731,0.0040397597,0.07874778,-1.0666666676600773,1162.8333333333333,-1.0666666676600773
40000,1.420731,0.0002962377,-0.1559625,0.0046701664,0.060280893,-1.0400000005960464,718.6,-1.0400000005960464
45000,1.4221374,0.00029574317,-0.12025154,0.0012253165,0.06974083,-1.0,719.0,-1.0
50000,1.4243455,0.00029523717,-0.16774373,0.004427932,0.06540051,-1.050000000745058,731.125,-1.050000000745058
55000,1.4259516,0.000294754,-0.15318072,0.0064982306,0.075527385,-0.8,1294.2,-0.8
60000,1.4272906,0.00029425122,-0.15696202,0.003670099,0.06604297,-0.9142857151372092,925.0,-0.9142857151372092
65000,1.4283569,0.00029373672,-0.15234728,0.0051412685,0.06760546,-0.9714285731315613,852.2857142857143,-0.9714285731315613
70000,1.4295232,0.0002932399,-0.14155334,0.004258309,0.06552998,-1.050000000745058,616.25,-1.050000000745058
75000,1.431255,0.00029275267,-0.121607505,0.0031053752,0.064619556,-0.8500000014901161,1017.5,-0.8500000014901161
80000,1.4319075,0.00029224178,-0.11922576,0.0028682281,0.06964292,-1.080000001192093,808.4,-1.080000001192093
85000,1.4336869,0.00029176963,-0.135083,0.0039692246,0.06854003,-0.6400000005960464,1345.2,-0.6400000005960464
90000,1.4348601,0.00029122052,-0.16800502,0.00330629,0.06988624,-0.9666666686534882,855.6666666666666,-0.9666666686534882
95000,1.4362823,0.0002907527,-0.14423819,0.0040947446,0.07461134,-0.8666666696468989,1770.0,-0.8666666696468989
100000,1.436352,0.00029025006,-0.15050992,0.0026953677,0.06537863,-1.0,971.0,-1.0
105000,1.4381536,0.0002897556,-0.15119846,0.0016741804,0.07170674,-0.8000000019868215,1298.0,-0.8000000019868215
110000,1.4394373,0.0002892519,-0.1869123,0.003292011,0.06843804,-1.0,994.8333333333334,-1.0
115000,1.4401445,0.00028877295,-0.1659137,0.0038452065,0.066410124,-1.133333335320155,708.5,-1.133333335320155
120000,1.4409738,0.00028823546,-0.15008116,0.002152079,0.07087499,-0.8000000019868215,1174.1666666666667,-0.9200000017881393
125000,1.442292,0.00028774477,-0.14347194,0.0040632943,0.057320967,-1.0,513.2,-0.8400000005960464
130000,1.4417647,0.00028723307,-0.14809355,0.0054025017,0.0678902,-0.9250000007450581,773.125,-0.9333333339956071
