Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,0.26303893,2.480077,0.00029658587,-31.210482522379607,4961.0,-32.9047289384529
65000,0.27810568,2.4799335,0.00029626107,None,None,-22.739250043407083
70000,0.035560675,2.4787235,0.00029593846,None,None,None
75000,-0.030194301,2.4788013,0.000295662,None,None,None
80000,-0.01020144,2.4787905,0.00029533947,None,None,None
85000,0.09026949,2.4784899,0.00029501691,None,None,None
90000,-0.006094246,2.4766278,0.0002947404,None,None,None
95000,-0.10148308,2.4771206,0.00029446394,None,None,None
100000,-0.09927115,2.4768069,0.00029414138,None,None,None
105000,-0.01838011,2.476962,0.0002938188,None,None,None
110000,-0.12549545,2.4747722,0.00029354234,None,None,None
115000,0.013142259,2.4741135,0.00029326582,None,None,None
120000,0.062677965,2.4743803,0.00029298518,-31.744741913629696,4961.0,-34.10533899524145
125000,-0.114180125,2.4735112,0.00029266032,None,None,-24.662949338555336
130000,-0.07815827,2.471594,0.00029233776,None,None,None
135000,0.21106635,2.471702,0.00029206133,None,None,None
140000,0.03320414,2.4694977,0.00029173872,None,None,None
145000,-0.016822437,2.4694707,0.0002914162,None,None,None
150000,0.13099633,2.4701962,0.0002911397,None,None,None
155000,-0.08471399,2.4399745,0.00029086322,None,None,None
160000,0.010650722,2.4447856,0.00029054063,None,None,None
165000,0.064546645,2.4382749,0.00029021807,None,None,None
170000,-0.07148259,2.4390876,0.00028994164,None,None,None
175000,0.09521906,2.4509392,0.00028966513,None,None,None
180000,0.10988209,2.4500701,0.00028938445,-7.903819141172183,4961.0,-8.770819509135825
185000,0.19158168,2.4518669,0.00028905965,None,None,-6.690018595010042
190000,0.13598739,2.4566426,0.00028873704,None,None,None
195000,0.14886434,2.4528286,0.0002884606,None,None,None
200000,0.35500044,2.469493,0.00028818412,None,None,None
205000,0.39723477,2.4697568,0.00028786153,None,None,None
210000,0.41960448,2.471022,0.00028753898,None,None,None
215000,0.3888547,2.465919,0.0002872625,None,None,None
220000,0.14815784,2.434087,0.00028693996,None,None,None
225000,0.24728633,2.4234824,0.00028661735,None,None,None
230000,0.28139254,2.4363153,0.00028634092,None,None,None
235000,0.23734917,2.4268346,0.00028606443,None,None,None
240000,0.28707063,2.4489222,0.00028578372,13.57209104555659,4961.0,11.464799330259362
245000,0.4261196,2.4727755,0.0002854589,None,None,15.679382764734328
250000,0.42664167,2.4686394,0.0002851363,None,None,None
255000,0.29695323,2.462756,0.00028485988,None,None,None
260000,0.4028695,2.4542274,0.00028458334,None,None,None
265000,0.011628302,2.4048336,0.00028426084,None,None,None
270000,0.14978491,2.4016392,0.00028393828,None,None,None
275000,0.08353091,2.4019496,0.00028366176,None,None,None
280000,0.104484044,2.415407,0.00028333924,None,None,None
285000,0.2690758,2.453683,0.00028301668,None,None,None
290000,0.34150583,2.4626005,0.0002827402,None,None,None
295000,0.18845269,2.4419005,0.00028246368,None,None,None
300000,0.34262556,2.4581141,0.00028218303,17.69488484315419,4961.0,10.920433324947954
305000,0.28029922,2.427122,0.0002818582,None,None,22.533778772822448
310000,0.39278647,2.4373944,0.00028153558,None,None,None
315000,0.3710803,2.4357333,0.00028125916,None,None,None
320000,0.28894523,2.4200766,0.00028098267,None,None,None
325000,0.33614847,2.441548,0.00028066008,None,None,None
330000,0.48358727,2.4502947,0.00028033755,None,None,None
335000,0.434374,2.4489787,0.00028006104,None,None,None
340000,0.5385628,2.4591994,0.00027973854,None,None,None
345000,0.47939745,2.4345148,0.00027941592,None,None,None
350000,0.32515836,2.3914633,0.00027913947,None,None,None
355000,0.27447334,2.379066,0.00027886298,None,None,None
360000,0.29231426,2.3904283,0.0002785823,20.500409621512517,4961.0,16.49254158635934
365000,0.20149945,2.3866496,0.00027825747,None,None,21.836365717359715
370000,0.40471032,2.4436026,0.00027793492,None,None,None
375000,0.56717074,2.4639482,0.00027765843,None,None,None
380000,0.44942048,2.446798,0.0002773819,None,None,None
385000,0.53668654,2.4571269,0.00027705936,None,None,None
390000,0.39836645,2.4084234,0.00027673686,None,None,None
395000,0.28753984,2.3614137,0.00027646034,None,None,None
400000,0.21679363,2.3625882,0.00027618386,None,None,None
405000,0.37532783,2.3863595,0.0002758613,None,None,None
410000,0.34225053,2.3901923,0.00027553877,None,None,None
415000,0.46607393,2.4294236,0.00027526225,None,None,None
420000,0.5058263,2.4413743,0.00027498155,21.834301869695384,4961.0,16.488906612619758
425000,0.55385184,2.449496,0.00027465678,None,None,22.903380808234214
430000,0.6045454,2.4585385,0.00027433416,None,None,None
435000,0.52291805,2.405674,0.0002740577,None,None,None
440000,0.46999434,2.3839765,0.00027378122,None,None,None
445000,0.40903986,2.3755596,0.00027345866,None,None,None
450000,0.43670982,2.3821576,0.0002731361,None,None,None
455000,0.3836033,2.3972359,0.00027285962,None,None,None
460000,0.54483396,2.4318416,0.00027258316,None,None,None
465000,0.5871772,2.4277594,0.00027226054,None,None,None
470000,0.5053996,2.4297636,0.00027193804,None,None,None
475000,0.52156556,2.396044,0.00027166153,None,None,None
480000,0.36079153,2.347031,0.00027138085,30.24362952817076,4961.0,22.43029922246933
485000,0.33389655,2.341815,0.00027105602,None,None,30.953932237726722
490000,0.2884152,2.3369732,0.00027073346,None,None,None
495000,0.38746876,2.3595073,0.00027045698,None,None,None
500000,0.4570446,2.3870027,0.0002701805,None,None,None
505000,0.32069206,2.3626728,0.00026985796,None,None,None
510000,0.43460745,2.3790271,0.0002695354,None,None,None
515000,0.42144966,2.3777597,0.0002692589,None,None,None
520000,0.507147,2.3902159,0.00026898243,None,None,None
525000,0.5755656,2.4050171,0.00026865985,None,None,None
530000,0.552613,2.401671,0.00026833732,None,None,None
535000,0.5977022,2.3963776,0.0002680608,None,None,None
540000,0.5965383,2.407371,0.00026778434,None,None,None
545000,0.46112835,2.335517,0.00026745783,28.909965942186926,4961.0,28.909965875558555
550000,0.4163134,2.341006,0.0002671327,None,None,None
555000,0.37383097,2.3290892,0.00026685628,None,None,None
560000,0.35243094,2.3288565,0.0002665798,None,None,None
565000,0.4912055,2.3756697,0.00026625724,None,None,None
570000,0.493599,2.3756502,0.00026593465,None,None,None
575000,0.53292036,2.3941875,0.00026565816,None,None,None
580000,0.4894692,2.3669355,0.00026538174,None,None,None
585000,0.5032627,2.3366191,0.00026505912,None,None,None
590000,0.38632053,2.3272657,0.0002647366,None,None,None
595000,0.35244963,2.3133845,0.00026446013,None,None,None
600000,0.36089337,2.3165314,0.00026418362,None,None,None
605000,0.5504192,2.3393855,0.0002638571,22.83616316334034,4961.0,22.83616321409742
610000,0.68639714,2.3668406,0.00026353204,None,None,None
615000,0.59568524,2.3581827,0.00026325556,None,None,None
620000,0.6151488,2.3682008,0.00026297907,None,None,None
625000,0.58452904,2.345525,0.0002626565,None,None,None
630000,0.55631864,2.3168914,0.00026233398,None,None,None
635000,0.5789025,2.2993374,0.00026205744,None,None,None
640000,0.5213254,2.3131466,0.00026178098,None,None,None
645000,0.6017598,2.3153844,0.0002614584,None,None,None
650000,0.4810571,2.2753284,0.00026113587,None,None,None
655000,0.5590497,2.2905939,0.0002608594,None,None,None
660000,0.54293156,2.274907,0.0002605829,None,None,None
665000,0.5202614,2.2781453,0.00026025638,30.756567184541684,4961.0,30.75656713762631
670000,0.63834965,2.2656832,0.0002599313,None,None,None
675000,0.7181257,2.2576723,0.00025965483,None,None,None
680000,0.62758416,2.246621,0.00025937837,None,None,None
685000,0.7113696,2.256771,0.00025905579,None,None,None
690000,0.66851974,2.2590055,0.00025873323,None,None,None
695000,0.69574314,2.2379177,0.00025845674,None,None,None
700000,0.7028095,2.2303822,0.00025818028,None,None,None
705000,0.71788603,2.2435749,0.0002578577,None,None,None
710000,0.6846218,2.239273,0.00025753514,None,None,None
715000,0.66180354,2.2737906,0.00025725868,None,None,None
720000,0.6394739,2.2620306,0.00025698217,None,None,None
725000,0.67563576,2.2533402,0.00025665565,33.99766259718066,4961.0,33.99766256768877
730000,0.61173344,2.256532,0.00025633062,None,None,None
735000,0.659117,2.2613091,0.0002560541,None,None,None
