Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
20000,-0.034352627,0.0015452553,0.0136717325,1.417752,0.00029907713,-0.5689831521249289,1642.0,-0.5689831599593163
30000,-0.025689084,0.001613211,0.014346824,1.4172592,0.00029852384,1.0557467367762001,1966.0,1.055746704339981
40000,-0.026696268,0.0013980997,0.014781424,1.4169511,0.0002979273,0.10798462529055541,3051.0,0.10798469465225935
50000,-0.0075975345,0.0003336601,0.015970785,1.416807,0.00029729045,2.388681862220286,3493.6666666666665,2.388681843255957
60000,0.03507984,0.0050072083,0.018189961,1.4166838,0.00029667362,1.9344825327823907,4063.8888888888887,1.934482534079709
70000,0.065980256,0.0037762797,0.01587745,1.4167888,0.00029608555,1.0260796713846503,1269.5,1.026079673320055
80000,0.01973622,0.00499036,0.018480211,1.4169836,0.00029547856,2.110474669808658,1629.5,2.110474616289139
90000,0.011773683,0.0037872414,0.011989131,1.4171401,0.00029490778,1.1010473842989086,1938.25,1.1010473878122866
100000,0.023986641,0.00090596627,0.01911163,1.417064,0.00029429756,-0.3907864271066046,2892.0,-0.39078641682863235
110000,0.039038498,0.00012218031,0.021594716,1.4166716,0.00029369254,None,None,None
120000,0.080026746,None,None,1.416174,0.00029310316,None,None,None
130000,0.10881096,0.00012178249,0.018178063,1.415834,0.00029250985,0.13394752207835836,4981.0,0.13394750282168388
140000,0.12951879,0.00010721389,0.024026912,1.4157803,0.00029191424,6.036503879368605,4797.571428571428,6.036503877490759
150000,0.15432853,0.0011865603,0.016358381,1.415565,0.0002912989,8.525173067298851,4981.0,8.525173135567456
160000,0.15983322,7.945785e-05,0.012497422,1.4150635,0.00029068338,None,None,None
170000,0.18004698,7.0162474e-05,0.014577541,1.4145275,0.00029008044,4.9929349343292415,2828.0,4.992934972047806
180000,0.18134746,0.00262474,0.01891018,1.4139187,0.00028949292,5.300185710890219,2840.75,5.300185717642307
190000,0.18166329,0.0034387372,0.019109456,1.4137536,0.00028890735,7.029263272163614,3938.0,7.0292633672555285
200000,0.1797339,0.0034471538,0.012552081,1.4138013,0.0002883177,9.49655016303251,4626.0,9.496550200507045
210000,0.18230614,0.0013467212,0.016620396,1.4138095,0.0002877021,6.781196861760691,3740.0,6.781196936964989
220000,0.19320542,0.002373309,0.011739884,1.413669,0.00028709113,7.779650597367436,3876.0,7.7796505987644196
230000,0.18920973,0.0024413243,0.011069063,1.4136306,0.00028649307,7.552667578398541,3674.25,7.552667535841465
240000,0.19404516,0.0019814097,0.016733967,1.4136158,0.0002859067,12.667682860046625,4981.0,12.66768303513527
250000,0.19615585,8.424809e-05,0.017578458,1.4133933,0.0002853036,10.926158098853193,4981.0,10.926158100366592
260000,0.20034003,7.7713536e-05,0.014172274,1.413036,0.00028469195,10.55800597322991,4981.0,10.558006048202515
270000,0.19465725,6.725905e-05,0.018505095,1.4127688,0.00028409532,11.768999513238668,4981.0,11.768999695777893
280000,0.19018033,0.0006914895,0.011822705,1.412602,0.00028348604,5.959469809551592,3679.0,5.95946978777647
290000,0.20172441,6.901955e-05,0.01156784,1.4124463,0.00028288568,10.54220785733487,4909.4,10.542207805812359
300000,0.19830734,0.0012974448,0.016407022,1.4122161,0.00028231175,None,None,None
310000,0.19753532,0.0013363212,0.01598535,1.4120733,0.0002817052,8.918058500392362,4878.5,8.91805849969387
320000,0.2050289,6.277881e-05,0.012342343,1.4117508,0.0002810895,8.183839968250444,4851.666666666667,8.183839937051138
330000,0.20894432,0.0038253511,0.019542443,1.4113693,0.00028049748,6.444537052387022,3462.4,5.822437819093466
340000,0.2048685,0.007446747,0.021043653,1.4112842,0.00027990082,4.425309908459894,2624.5,5.3268347680568695
350000,0.20314845,0.002485185,0.022491578,1.4113979,0.0002793158,5.595032341056746,2604.3333333333335,5.595032284657161
360000,0.19916637,0.0012812114,0.014549127,1.4116344,0.00027871234,2.631699394667521,1642.5,2.631699375808239
370000,0.19630449,0.0045031947,0.014547031,1.4119953,0.00027808512,7.169154334813356,3508.5,7.169154301285744
380000,0.20320578,0.0001503373,0.01249363,1.4120383,0.00027748148,14.218570876866579,4981.0,14.218571186065674
390000,0.18789007,0.0012997609,0.015683757,1.4118184,0.0002769075,9.854643011836743,4680.5,9.854643017053604
400000,0.17686217,None,None,1.4116877,0.00027630947,8.845548404240981,3881.2,8.845548433065414
410000,0.17138852,0.0021958617,0.01835479,1.4118105,0.0002756987,3.738315317168599,2945.6666666666665,3.7383153066039085
420000,0.18936266,0.0031321004,0.015690994,1.411982,0.00027509884,7.150616955618413,3663.6666666666665,7.15061695377032
430000,0.18846217,0.0009014523,0.016021488,1.4121808,0.00027448958,8.242650690954179,4981.0,8.242650613188744
440000,0.20346148,8.727768e-05,0.010508418,1.412283,0.00027388436,9.234576870221645,4981.0,9.234576940536499
450000,0.20923826,6.569259e-05,0.011640833,1.4124981,0.00027329603,6.596056472626515,3966.6666666666665,6.596056491136551
460000,0.22010627,0.0024188939,0.01494652,1.4126005,0.00027270004,6.687332280821283,3612.0,6.6873322367668155
470000,0.2148732,0.0035821602,0.013020162,1.4126825,0.00027209645,6.674385752684127,3659.6666666666665,6.674385706583659
480000,0.2306712,0.0037429186,0.018716702,1.4128563,0.0002715015,5.009930454287678,2695.2,5.0099304676055905
490000,0.22837362,0.0048617157,0.013284405,1.4129772,0.0002709033,6.583718710113317,2838.6666666666665,6.5837186475594835
500000,0.19540244,0.0026407263,0.017518502,1.412998,0.000270295,7.810968005952115,3473.0,7.810967942078908
510000,0.1967547,0.0022315877,0.013407448,1.4130645,0.00026970194,None,None,None
520000,0.2241764,9.751964e-05,0.010255662,1.4133669,0.0002691118,7.577737318351865,3329.0,7.577737390995026
530000,0.2304673,0.0011824626,0.010495848,1.4135659,0.0002684927,12.02768744978433,4943.333333333333,12.027687420447668
540000,0.22732738,0.0012383717,0.020934602,1.4134661,0.0002678889,9.911456935889419,4335.5,9.911456967703998
550000,0.22316878,0.0039367145,0.017812274,1.4134812,0.00026732025,6.946038693765028,3665.6666666666665,6.946038706849019
560000,0.21620688,7.1320595e-05,0.015890026,1.4137021,0.00026671344,9.813337499586245,4361.0,9.81333757440249
570000,0.21928713,0.0013715564,0.013661885,1.4139292,0.00026609746,5.68023967379122,2848.25,5.680239640176296
580000,0.22187728,0.008659024,0.016604165,1.4142047,0.00026549032,4.517315654860188,2856.6666666666665,4.517315636078517
590000,0.23005669,0.0025060058,0.017985139,1.4144387,0.00026488584,5.401937479173284,2673.0,5.401937484741211
600000,0.2415502,9.552746e-05,0.0137806125,1.4147133,0.00026430291,8.266939360648394,3800.5,8.26693944633007
610000,0.22869182,0.0038025796,0.019919802,1.4145676,0.00026372058,8.166634460445493,3403.0,8.16663450996081
620000,0.23644666,8.8049055e-05,0.018670488,1.4140832,0.00026309988,13.294342692010105,4981.0,13.294342756271362
630000,0.23920909,0.0013783798,0.013480279,1.4140055,0.0002624817,10.159337495531267,4052.6666666666665,10.159337530533472
640000,0.22050321,4.8663314e-05,0.013802586,1.4136477,0.00026190316,11.772810553899035,4981.0,11.772810570895672
650000,0.22740293,0.0012622591,0.0126695195,1.4132571,0.00026129824,10.645196371905817,4670.0,10.64519632856051
660000,0.2288549,0.0013281581,0.021329466,1.4128767,0.00026070472,7.9825739751880365,3829.6666666666665,7.982573976119359
670000,0.23342511,0.006357491,0.017887026,1.4128256,0.00026009564,4.830996266333386,2338.0,4.83099623521169
680000,0.22931656,None,None,1.4132067,0.00025949496,0.46542465628590435,751.0,0.46542465686798096
690000,0.23502678,0.0013065476,0.009840607,1.4137472,0.00025890613,12.337400769814849,4981.0,12.33740077416102
700000,0.2172874,0.00012767443,0.013670939,1.4131684,0.00025832088,5.523738496680987,2604.3333333333335,5.515531653165818
710000,0.2179136,0.0057561523,0.013549181,1.4126902,0.00025771177,2.0012361718763714,1474.0,3.7830046117305756
720000,0.22719873,0.0025533787,0.016192876,1.4123704,0.00025709555,5.4307166198462555,2647.0,5.430716594060262
730000,0.22338347,0.0047863894,0.016936665,1.4123409,0.00025650178,12.69456276204437,4981.0,12.694562628865242
740000,0.2389824,9.341727e-05,0.021572642,1.4119482,0.00025589397,13.001022927463055,4981.0,13.001022815704346
750000,0.25698805,5.0383813e-05,0.013757667,1.4115247,0.00025530782,12.025530569255352,4981.0,12.02553054690361
760000,0.26062378,4.8825063e-05,0.014377185,1.4109936,0.00025471358,10.929198300698772,4981.0,10.929198563098907
770000,0.25458556,0.0013830138,0.022792216,1.4105903,0.00025409998,7.218285507289693,4066.0,7.218285515904427
780000,0.2478803,0.0012072575,0.014271702,1.4105333,0.00025349812,10.072409622681638,4423.333333333333,10.072409600019455
790000,0.24015059,0.0026516474,0.0088732,1.4107612,0.000252901,9.48631886811927,4670.5,9.486318819224834
800000,0.25141817,9.061348e-05,0.015114244,1.4109644,0.00025229514,11.107492104172707,4981.0,11.107491910457611
810000,0.25354776,5.1199957e-05,0.013791392,1.410831,0.00025170107,10.97794571693521,4981.0,10.977945446968079
820000,0.25110707,3.9350358e-05,0.016163556,1.4103969,0.00025110593,6.488716714084148,2973.0,6.488716572523117
830000,0.2445846,0.0025713607,0.014980287,1.4100976,0.00025049763,10.606719878540995,4577.0,10.606719891230265
840000,0.2386374,0.0025371576,0.017814578,1.4100901,0.00024989678,11.170215333346277,4718.2,11.170215332508088
850000,0.24909477,5.9169255e-05,0.010476339,1.4100677,0.00024929666,13.041690758895129,4981.0,13.04169076681137
860000,0.25069356,4.4089003e-05,0.019995965,1.4099671,0.00024869316,11.571298670722172,4981.0,11.571298599243164
870000,0.25232884,3.8762966e-05,0.017531622,1.4097862,0.0002481008,6.02794653060846,2774.0,6.027946546673775
880000,0.25227362,0.0013007249,0.009745841,1.409688,0.0002475062,12.738123261369765,4981.0,12.738123327493668
