Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
3020000,1.09286,1.4060946,0.000118971555,-10.10887480340898,1768.0,-10.108874797821045
3025000,0.94710237,1.4060947,0.000118602926,-1.2556166164577007,34.0,-1.2556166648864746
3030000,1.1235632,1.4060947,0.000118326905,None,None,None
3035000,1.110459,1.4060946,0.000118048694,-24.188543122261763,2970.0,-24.188543438911438
3040000,1.1573648,1.4060947,0.00011776313,None,None,None
3045000,1.0965077,1.4061304,0.000117493386,None,None,None
3050000,1.0246586,1.4061633,0.00011712884,None,None,None
3055000,1.0471026,1.4061633,0.00011685234,None,None,None
3060000,1.0439261,1.4061632,0.000116592244,-25.060431839432567,4981.0,-25.060431665182115
3065000,0.3722031,1.4061633,0.00011628613,None,None,None
3070000,0.9257186,1.4061633,0.00011592428,None,None,None
3075000,0.95606536,1.4061633,0.000115647774,None,None,None
3080000,0.996743,1.4061633,0.00011537131,None,None,None
3085000,1.0045426,1.4061848,0.00011500244,-22.028411408886313,4981.0,-22.028411388397217
3090000,0.8410729,1.4062063,0.00011472618,None,None,None
3095000,0.88284254,1.4062061,0.00011444805,-13.469009699299932,3896.5,-13.469009801745415
3100000,0.8912363,1.4062064,0.00011416282,None,None,None
3105000,0.86928576,1.4062061,0.00011389244,None,None,None
3110000,0.90089446,1.4062063,0.00011352811,None,None,None
3115000,0.92408,1.4062064,0.000113247086,None,None,None
3120000,0.92220736,1.4062063,0.00011299006,-25.795847304475803,4981.0,-25.79584725532267
3125000,0.6287635,1.4062063,0.00011268494,None,None,None
3130000,0.7055669,1.4061681,0.00011232354,None,None,None
3135000,0.6437582,1.4061681,0.00011204707,None,None,None
3140000,0.6721597,1.4061681,0.00011177059,None,None,None
3145000,0.58574414,1.4061681,0.00011143617,-30.110967053100467,4981.0,-30.11096751689911
3150000,0.6048234,1.406168,0.00011117971,-10.221312016559144,1666.6666666666667,-10.221311926841736
3155000,0.556262,1.406168,0.00011084743,-20.3149742661044,4981.0,-20.31497433781624
3160000,0.587379,1.4061682,0.000110562505,None,None,None
3165000,0.60559416,1.4061681,0.00011029151,None,None,None
3170000,0.56428105,1.4062164,0.00010993402,-16.459526427090168,2049.0,-16.459526419639587
3175000,0.53152406,1.4062595,0.00010966015,None,None,None
3180000,0.5166568,1.4062595,0.00010936846,-18.531687399239413,4969.142857142857,-18.531687427312136
3185000,0.29942435,1.4062595,0.00010906095,-20.239595657214522,2332.0,-20.239595770835876
3190000,0.4347891,1.4062595,0.000108748674,None,None,None
3195000,0.4678573,1.4062595,0.000108461216,None,None,None
3200000,0.46967143,1.4062597,0.000108155764,None,None,None
3205000,0.36660337,1.4062595,0.00010784653,-12.063487882027403,3097.0,-12.063487816601992
3210000,0.41820168,1.406285,0.00010757496,-33.069178361445665,4981.0,-33.069178223609924
3215000,0.3303849,1.40633,0.000107261585,-11.64361823288103,1734.6666666666667,-16.6007542014122
3220000,0.3264761,1.4063299,0.00010694581,None,None,-1.7293460369110107
3225000,0.3590029,1.4063299,0.00010665403,-19.870883997529745,3512.0,-19.87088429927826
3230000,0.38598627,1.40633,0.00010635061,-25.941248865798116,4612.0,-25.941249072551727
3235000,0.38759494,1.40633,0.00010604743,-16.234467240050435,2575.0,-16.234467267990112
3240000,0.4318669,1.4063299,0.000105762614,-28.392241676648457,4981.0,-28.392241885264713
3245000,0.24201901,1.4063299,0.00010546516,-11.974636124446988,4981.0,-11.974636033177376
3250000,0.35401416,1.4062974,0.00010515917,-18.57063453644514,2128.0,-18.570634365081787
3255000,0.18339479,1.406165,0.000104856765,-20.322537012398243,3341.0,-20.322537064552307
3260000,0.21307516,1.406165,0.000104550236,-22.498154565691948,2810.0,-22.498154640197754
3265000,0.25173438,1.406165,0.00010424219,-12.556225990643725,2251.0,-12.556225925683975
3270000,0.29028034,1.406165,0.00010393512,-20.173136038705707,4981.0,-20.17313577979803
3275000,0.27273628,1.406165,0.00010365096,-23.951108435168862,2973.0,-23.95110833644867
3280000,0.24811995,1.406165,0.00010334708,-9.211508279200643,4981.0,-9.211508393287659
3285000,0.24178496,1.4061649,0.0001030397,-16.154614236205816,2097.0,-16.154614090919495
3290000,0.11497411,1.406165,0.00010276586,-16.161628746738035,2071.6666666666665,-16.16162860393524
3295000,0.05558158,1.4060954,0.00010245295,-11.542281240457669,3476.0,-11.054586797952652
3300000,0.16353765,1.4060954,0.00010217114,-8.362766563892365,1967.0,-10.196371227502823
3305000,0.22844036,1.4060954,0.00010187009,None,None,None
3310000,0.16421913,1.4060954,0.0001015366,-17.748509099707007,4896.0,-17.748509109020233
3315000,0.1722556,1.4060954,0.00010125329,None,None,None
3320000,0.20448993,1.4060953,0.00010095828,-12.634538526181132,3237.5,-12.634538471698761
3325000,0.19002268,1.4060953,0.00010064133,-19.029273969121277,4981.0,-19.02927389740944
3330000,0.16529383,1.4060954,0.00010034645,-12.819980373606086,4158.5,-12.819980325177312
3335000,-0.061627854,1.4061323,0.000100053694,-38.097505278885365,4981.0,-38.097505033016205
3340000,0.07055346,1.4061459,9.973794e-05,-7.854735712520778,1285.0,-7.854735970497131
3345000,0.06875866,1.4061458,9.9435514e-05,-19.824781240274508,3142.3333333333335,-19.82478145758311
3350000,0.025623685,1.4061459,9.9158686e-05,-14.214597796089947,3525.25,-14.21459785848856
3355000,0.056848243,1.4061459,9.8845674e-05,None,None,None
3360000,0.030795904,1.4061459,9.8537326e-05,-11.208209471777081,1703.6666666666667,-11.20820927619934
3365000,0.049472235,1.406146,9.825402e-05,-15.250285763293505,4163.0,-15.250285997986794
3370000,0.038782757,1.4061459,9.793194e-05,-4.650526985526085,575.0,-4.6505268812179565
3375000,0.038952805,1.4061929,9.7642114e-05,None,None,None
3380000,-0.031296242,1.4062184,9.7364384e-05,-10.562093174085021,2708.5,-10.562093168497086
3385000,-0.052505612,1.4062184,9.7044234e-05,-14.360106692959866,2008.3333333333333,-14.360106825828552
3390000,0.006972156,1.4062184,9.6751646e-05,-9.637724688276649,2008.0,-9.63772463798523
3395000,-0.0016867369,1.4062183,9.64686e-05,None,None,None
3400000,0.019020526,1.4062184,9.614204e-05,-20.151258553378284,3392.5,-20.15125858783722
3405000,-0.043850206,1.4062184,9.58404e-05,-12.732937272288837,3066.0,-12.732937196269631
3410000,-0.07037288,1.4062184,9.555834e-05,-13.212276917183772,4981.0,-13.212276883423328
3415000,-0.0917782,1.4062934,9.524007e-05,-7.401822254061699,2200.0,-7.401822328567505
3420000,-0.05496006,1.4064142,9.4939394e-05,None,None,None
3425000,-0.07083904,1.4064142,9.46429e-05,-18.977895757183433,3924.0,-18.977896127849817
3430000,-0.11405573,1.4064142,9.435387e-05,-11.680683847516775,1788.0,-11.680683851242065
3435000,-0.11948178,1.4064142,9.405215e-05,-10.276422059163451,1242.5,-10.276421964168549
3440000,-0.04709313,1.4064142,9.374822e-05,-18.30202912259847,4981.0,-18.302029192447662
3445000,-0.041648418,1.4064142,9.3452385e-05,-16.011336860712618,4981.0,-16.011336773633957
3450000,0.019643974,1.4064142,9.313181e-05,-12.30073053855449,3956.0,-12.300730586051941
3455000,-0.04503257,1.406415,9.2849456e-05,None,None,None
3460000,-0.032715127,1.4064255,9.255494e-05,-14.04810852278024,4981.0,-14.048108577728271
3465000,-0.11658114,1.4064256,9.2235285e-05,-19.20070713944733,4224.5,-18.326520793139935
3470000,-0.06472155,1.4064256,9.196037e-05,-14.027866267599165,4981.0,-16.04354212122659
3475000,-0.13619874,1.4064256,9.165536e-05,-9.283171416609548,1850.0,-9.283171534538269
3480000,-0.07228991,1.4064256,9.133864e-05,None,None,None
3485000,-0.07665998,1.4064255,9.104655e-05,-9.259409989230335,2383.5,-9.259410209953785
3490000,-0.13875252,1.4064256,9.076943e-05,-13.430154346628115,3506.0,-13.430154226720333
3495000,-0.08555128,1.4064256,9.0441805e-05,-32.81731356494129,4981.0,-32.81731355190277
3500000,-0.16685283,1.4065026,9.013789e-05,-13.020158654078841,4981.0,-13.020158663392067
3505000,-0.19335917,1.4065056,8.9856934e-05,None,None,None
3510000,-0.18487343,1.4065055,8.952154e-05,-16.476750356145203,4981.0,-16.476750254631042
3515000,-0.19790965,1.4065056,8.924614e-05,None,None,None
3520000,-0.30050287,1.4065055,8.896166e-05,-15.357952121645212,4981.0,-15.35795234143734
3525000,-0.23592384,1.4065056,8.864329e-05,None,None,None
3530000,-0.32733962,1.4065055,8.8366935e-05,-14.891067682610204,4981.0,-14.89106764489164
3535000,-0.2633441,1.4065055,8.807382e-05,-24.925141692860052,4981.0,-24.925141841173172
