Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
5000,2.4848716,0.00029966055,-9.689144742856245,176.5,-0.030897217,-9.62827501296997
10000,2.4848685,0.0002988744,-12.06401974282311,223.0952380952381,-0.050361406,-12.02524103901603
15000,2.483786,0.00029811412,-10.934444996842139,203.32,-0.585987,-10.934445085525512
20000,2.4837468,0.0002973697,-11.127010273796353,209.0,-0.6240184,-11.127010310689608
25000,2.4767318,0.00029661317,-9.966731691415305,196.70833333333334,-1.1700392,-9.96673167248567
30000,2.4758625,0.00029587978,-8.993679595230123,185.76923076923077,-1.2112403,-8.993679670187143
35000,2.4516013,0.00029513417,-8.734438693536234,200.88888888888889,-1.6404865,-8.73443869970463
40000,2.4446504,0.00029436534,-7.810498943437559,189.0,-1.7259762,-7.745101979145637
45000,2.4031003,0.0002936252,-6.324874307264687,173.75,-1.858314,-6.4347346774463
50000,2.3868468,0.000292867,-6.2431433832487455,181.25,-1.9381998,-6.243143493930499
55000,2.3266332,0.0002921194,-6.359096304933181,201.10714285714286,-1.9992442,-6.357138501273261
60000,2.2963398,0.00029136735,-5.008985411763461,179.48,-2.032347,-5.062945815233084
65000,2.2255154,0.0002906125,-3.9389153167192257,176.32258064516128,-1.9916089,-3.976405535141627
70000,2.190764,0.00028988768,-3.726105251375126,176.92592592592592,-1.9427186,-3.618779549231896
75000,2.1251378,0.00028914926,-3.2184421235436074,175.88888888888889,-1.8702924,-3.31823179639619
80000,2.0739172,0.00028839093,-2.756694713517959,163.4375,-1.8121,-2.7677532069144712
85000,2.007247,0.00028762055,-2.313471440801706,150.125,-1.7025366,-2.3165141307946406
90000,1.9489049,0.0002868588,-1.7290913255587563,158.27272727272728,-1.6083479,-1.7073465478606522
95000,1.9107254,0.00028614307,-1.941845132033662,148.26666666666668,-1.5274979,-1.9574283104269736
100000,1.8730855,0.0002853986,-1.5156624063003714,140.81578947368422,-1.3854816,-1.5156624167177237
105000,1.8605697,0.00028461515,-1.4709819816410572,123.9,-1.3135136,-1.4750368197758992
110000,1.806487,0.000283869,-1.4617124312112284,133.16666666666666,-1.1808096,-1.4576889538281672
115000,1.7893223,0.000283131,-1.482934305817139,143.28125,-1.1431679,-1.4829343187157065
120000,1.7405705,0.00028238044,-1.2890161412896002,177.86666666666667,-1.0336114,-1.2890161618590354
125000,1.7490479,0.00028163302,-1.2723981101242714,137.25,-1.0093571,-1.2723981272429228
130000,1.7568051,0.00028086297,-1.148281592002903,157.62857142857143,-0.92250055,-1.1431440423817976
135000,1.7521523,0.00028011715,-1.130288759455686,173.0,-0.9155645,-1.1380299531716715
140000,1.7443118,0.0002793843,-1.071991359086095,152.91176470588235,-0.8385677,-1.0731900511309505
145000,1.7447472,0.00027861382,-1.0606772111397291,143.33333333333334,-0.8160437,-1.0606772057486302
150000,1.7345074,0.00027787275,-1.1545348391202026,153.34375,-0.7770978,-1.154534834655351
155000,1.7411424,0.00027712376,-0.9940295747689896,139.73684210526315,-0.7551468,-0.9940295684469962
160000,1.7600158,0.0002763605,-0.8393138822916342,156.0,-0.7037249,-0.8393138926767278
165000,1.7583425,0.00027562396,-1.0106424540702932,148.46875,-0.71308625,-1.010642447945429
170000,1.7557796,0.00027488513,-1.0713521437843003,163.54166666666666,-0.6816848,-1.0713521341676824
175000,1.7522827,0.00027413527,-1.1529349350246068,255.72222222222223,-0.671838,-1.152934943481038
180000,1.7378662,0.00027337242,-1.1056110607324252,306.3529411764706,-0.6340373,-1.09804775507655
185000,1.7329537,0.00027263846,-0.7038723247806502,429.5,-0.5805482,-0.7513952187304809
190000,1.7181454,0.00027189316,-0.7945395329933831,325.375,-0.55447537,-0.7945395461283624
195000,1.7115914,0.0002711138,-0.8335486589476204,776.7142857142857,-0.5261626,-0.8335486237026218
200000,1.6637439,0.00027036536,-0.38359137427717843,794.3333333333334,-0.45814905,-0.3835914152053495
205000,1.6632564,0.00026963063,-1.2060215059702841,1078.0,-0.46790448,-1.2060215363744646
210000,1.6264515,0.00026888138,1.034469302544494,1409.0,-0.41172975,1.0344693090301007
215000,1.6088237,0.00026810757,-0.7843155621682854,1567.2,-0.39079946,-0.7843155764043331
220000,1.6016977,0.0002673613,-1.2612436940471525,915.0,-0.34796306,-1.2612436902709305
225000,1.5988897,0.00026660887,-1.5353571464638662,2202.3333333333335,-0.34089908,-1.5353571240169306
230000,1.5539653,0.0002658583,-1.8912654312807717,2886.0,-0.28156048,-1.891265437938273
235000,1.5446016,0.00026512536,-1.2746314599862671,1605.5,-0.271876,-1.2746314532123506
240000,1.5390035,0.00026439442,-1.722335525071685,2751.5,-0.25889704,-1.722335547907278
245000,1.529618,0.00026363213,-1.4523723950414933,2540.0,-0.24576454,-1.452372524421662
250000,1.532473,0.00026286233,-1.7443323828083521,2913.0,-0.22152999,-1.7443323456682265
255000,1.5494777,0.00026211847,0.23422812867215725,3502.0,-0.18260255,0.23422808421310037
260000,1.5759666,0.000261372,-1.6012779033917468,2319.0,-0.19749156,-1.601277873851359
265000,1.601547,0.00026062285,-1.4694917705010084,3070.0,-0.18209258,-1.7116259932518005
270000,1.5858853,0.00025988143,-1.5295741702211672,3109.5,-0.1594878,-1.4288352420553565
275000,1.5855284,0.00025912432,None,None,-0.12757973,None
280000,1.5826057,0.0002583671,None,None,-0.13399997,None
285000,1.5752486,0.00025762772,0.05762308607108935,2910.25,-0.11950645,0.057623085856903344
290000,1.5756537,0.0002568725,1.1744975647279716,4815.0,-0.086381435,1.1744974767789245
295000,1.6246511,0.00025611973,None,None,-0.082164556,None
300000,1.6365676,0.00025538253,-0.7195156278976356,4961.0,-0.09385399,-0.7195156359812245
305000,1.651767,0.00025462033,None,None,-0.060825936,None
310000,1.6633934,0.00025386707,None,None,-0.05612221,None
315000,1.6823951,0.0002531326,-0.8715101413854427,4961.0,-0.048641622,-0.871510146302171
320000,1.684265,0.00025237058,None,None,-0.05517521,None
325000,1.6885966,0.00025161452,None,None,-0.042889655,None
330000,1.680648,0.00025087714,-0.7111441232672178,4961.0,-0.027972238,-0.7111441233428195
335000,1.657017,0.00025012123,-0.5397211887798221,4961.0,-0.027347356,-0.539721183857182
340000,1.6642336,0.00024936837,None,None,-0.030565564,None
345000,1.634644,0.00024863047,0.4863295248577515,3202.5,0.02425558,0.4863295175455278
350000,1.6233268,0.00024787142,None,None,-0.028283792,None
355000,1.6165228,0.0002471194,None,None,-0.031570673,None
360000,1.5992159,0.00024638278,0.03531037550783367,4250.666666666667,-0.024808517,0.03531039678879703
365000,1.6429074,0.00024561957,None,None,-0.018350206,None
370000,1.6455158,0.0002448699,None,None,-0.016637053,None
375000,1.6589978,0.00024413249,-0.5211502603292502,4961.0,0.009096359,-0.5211502586462302
380000,1.6631498,0.00024337054,None,None,0.03434971,None
385000,1.6163058,0.00024262298,0.8690533055992091,4379.0,0.010131873,0.8690533451735973
390000,1.6003928,0.0002418857,-0.5305333799169603,4961.0,-0.017134,-0.5305333858899152
395000,1.6378242,0.00024112083,None,None,0.027444735,None
400000,1.6518824,0.00024037213,1.3151456922055331,1771.0,0.004243432,1.3151456995401531
405000,1.669047,0.00023963497,-0.06399033802597387,3856.25,-0.005107766,-0.06399035178037593
410000,1.67906,0.00023886953,1.4399203446487263,853.0,-0.0052228286,1.4399203099310398
415000,1.6881647,0.00023812184,None,None,-0.0120026395,None
420000,1.6988807,0.0002373824,0.06758103308069015,4396.333333333333,0.0041547827,0.067581030074507
425000,1.6922442,0.00023661964,None,None,-0.008781901,None
430000,1.6963507,0.00023586718,None,None,-0.007451154,None
435000,1.7032248,0.00023512861,-0.45440904389579373,4961.0,-0.0073334044,-0.454409041791223
440000,1.7113037,0.00023436727,None,None,-0.004306162,None
445000,1.7015461,0.0002336148,None,None,-0.004262162,None
450000,1.6905912,0.00023287923,-0.5387566603470381,4961.0,-0.0038321167,-0.5387566556649593
455000,1.695172,0.00023211785,-0.5883939417853981,4961.0,-0.00452469,-0.5883939254563302
460000,1.7197278,0.00023136214,None,None,-0.00282245,None
465000,1.7176766,0.00023062358,-0.5389208718215741,4961.0,-0.0076625687,-0.5389208733928778
470000,1.7309716,0.00022986814,1.2686391911747705,2482.0,0.015733859,1.2686391486786306
475000,1.7347217,0.00022911566,0.5459527428378124,2675.25,0.04410969,0.5459527329076082
480000,1.7218937,0.00022837635,0.5409310577563247,2602.0,-0.00011205431,0.540931063820608
485000,1.7204134,0.00022763266,1.2916790333706558,577.5,0.009660538,1.2916790237650275
490000,1.7484727,0.00022688099,-0.03623270100304884,2147.5,0.038289454,-0.03623272990807891
495000,1.7422484,0.00022611822,-1.1702492467769843,1559.2,0.007828286,-1.1702492492739112
500000,1.7351627,0.00022535985,-1.079812492057196,815.3333333333334,-0.006287139,-1.0798125098614644
505000,1.7357293,0.00022461303,-0.8320553112590561,780.7777777777778,-0.0036038717,-0.8320552974991087
510000,1.7123443,0.00022387781,0.812503377724056,474.0,0.019132892,0.812503355089575
515000,1.7158766,0.00022313192,1.3727207463869946,1214.4,0.0221871,1.3727207195013762
520000,1.7214214,0.00022238737,1.4539053243365743,691.6666666666666,0.023689236,1.4539052836286526
525000,1.7185241,0.00022163003,1.4278350219110507,463.5,0.007218455,1.427835053531453
530000,1.7357687,0.0002208753,1.2878374303099918,2145.5,0.03506445,1.2878374060383067
535000,1.7385083,0.00022014313,1.449993260287556,769.0,0.009104318,1.4499932867474854
540000,1.7475033,0.00021937078,1.2725766416876922,2154.5,0.02099847,1.2725766309304163
545000,1.7521505,0.00021860086,1.4290843587700692,999.0,0.0036037744,1.429084359202534
550000,1.7593828,0.00021788216,1.4535804474639917,498.0,0.013653969,1.4535803459584713
555000,1.767789,0.00021713584,-0.18030923399768048,3252.0,0.020040605,-0.18030922409767905
560000,1.755927,0.00021636576,0.48155261089584656,2752.25,0.014004381,0.481552593424567
565000,1.7492063,0.00021562628,1.388758064128524,1486.5,0.017872578,1.3887580269947648
570000,1.7584456,0.0002148769,0.8123353639235315,2000.4285714285713,0.08632938,0.812335349103835
575000,1.7668879,0.0002141112,1.0578494330284554,462.42857142857144,0.07787916,1.0578493847777801
580000,1.7598596,0.0002133642,0.38673460003762256,1598.0,0.051944118,0.3867345980834216
585000,1.7676076,0.00021261643,1.3456012058961733,575.625,0.12731816,1.3456011750386097
590000,1.7567711,0.00021187677,0.7712056225666402,921.5,0.0647104,0.7712056565796956
595000,1.7386768,0.00021114027,1.303742300888037,1265.0,0.08215446,1.3037423370406032
600000,1.7546866,0.0002103757,1.3068290175357107,916.6,0.10640499,1.3068289894610643
605000,1.7620957,0.00020960707,1.3825786117569123,890.75,0.14915639,1.3825786018860526
610000,1.7598747,0.00020886194,1.4190266962080906,730.7142857142857,0.15746717,1.4190266710439963
615000,1.7681459,0.0002081179,1.2080466486388035,664.0,0.25933167,1.208046643761918
620000,1.7608254,0.00020737447,1.4051980732254379,223.0,0.22131409,1.4051980725023896
625000,1.7470076,0.00020662791,1.3576696202750977,567.8571428571429,0.2577435,1.357669622188301
630000,1.7297968,0.00020587003,1.4644757838216265,309.5,0.2909147,1.464475776447216
635000,1.7345065,0.00020511687,1.4581925774157045,361.0,0.20146184,1.456691001309082
640000,1.726324,0.00020436264,1.3982646711649775,497.3333333333333,0.26283914,1.4054586890153586
645000,1.7156255,0.00020360708,1.456124013785888,374.6666666666667,0.24672428,1.4561240177394614
650000,1.7190952,0.00020287382,1.4328497098337323,502.375,0.24127913,1.432849685428664
655000,1.699171,0.00020213205,1.456200847450772,263.8888888888889,0.23701714,1.4562008112875953
660000,1.696703,0.0002013772,1.1581550632956392,559.2727272727273,0.243186,1.3912434575147927
665000,1.6735595,0.00020062659,0.9416534972342561,972.1666666666666,0.16347244,0.6395988631328302
670000,1.6705183,0.00019989285,0.53186774445021,598.6666666666666,0.19305824,0.411617289413698
675000,1.6591421,0.00019915421,1.109657460679576,788.6666666666666,0.24387108,1.1480788621120155
680000,1.6412245,0.00019839266,1.4619346955406096,223.53333333333333,0.32688928,1.4619346943994362
685000,1.605597,0.00019762412,1.390263718422445,614.2307692307693,0.36757842,1.3902636898609881
690000,1.602819,0.00019687328,1.45632727044629,370.6666666666667,0.32013935,1.4563272651672985
695000,1.6006707,0.0001961261,1.427901843665091,393.5,0.39434233,1.4266315300346297
700000,1.6083376,0.00019536502,1.4519002156487042,252.21428571428572,0.37906957,1.451739994653811
705000,1.6260723,0.00019459466,1.4757898891633847,274.25,0.33119667,1.4757899165075894
710000,1.6424158,0.0001938583,0.7040853269650792,315.0,0.15789658,0.7040853197021144
715000,1.6046399,0.00019312908,0.9997522167985835,609.5,0.32398495,0.9997522255289368
720000,1.5835125,0.00019237377,1.4429817538412928,207.35714285714286,0.38029978,1.4429817550616073
725000,1.5607643,0.00019160999,1.41628076309172,624.0,0.39276838,1.4162807730172062
730000,1.5359511,0.00019085813,1.4726946734813715,246.04761904761904,0.47544968,1.472694673708507
735000,1.5233258,0.00019013713,1.4518000756083513,331.5833333333333,0.3555614,1.451800084284817
740000,1.4838271,0.00018939428,1.4715851789305165,344.7857142857143,0.3890249,1.4715851960105024
745000,1.4840834,0.00018863313,1.4669557836080696,278.17391304347825,0.47767282,1.4657516792755236
750000,1.477899,0.00018788186,1.4755155288671828,208.04347826086956,0.51965684,1.4762626058460835
755000,1.4568269,0.0001871318,1.4680773937534881,219.5,0.5048229,1.466859383308994
760000,1.4115127,0.00018639407,1.470593320315017,199.15384615384616,0.56281924,1.4714474721501272
765000,1.4014997,0.00018562665,1.4684446832682643,203.0,0.55295163,1.4684446771473934
770000,1.3680689,0.00018486934,1.480111428260011,216.0,0.55865383,1.480111421388574
775000,1.3631799,0.00018412068,1.4625980351106267,274.6190476190476,0.56862754,1.4625980257766233
780000,1.3666826,0.0001833732,1.4767680903294786,217.08,0.6270442,1.4767680919915438
785000,1.3625596,0.0001826333,1.4692239816799277,148.43333333333334,0.65908587,1.4692239783549061
790000,1.3192236,0.0001818817,1.4803440240548456,174.55172413793105,0.672261,1.479780001349614
795000,1.3434923,0.00018113537,1.466032922346604,211.875,0.59801203,1.467695814576776
800000,1.2792042,0.0001803915,1.4869477033610174,141.34285714285716,0.78699654,1.486094346968457
805000,1.2708181,0.00017964128,1.4881633066985103,167.15625,0.6981053,1.4881632881006226
810000,1.2395768,0.00017887846,1.4852678871405072,135.2941176470588,0.7634947,1.4850754324826554
815000,1.2228973,0.0001781239,1.4648043208611246,163.76666666666668,0.7412105,1.4656692977333743
820000,1.2232351,0.00017736826,1.4794315649124314,162.09375,0.7762338,1.4794315518520307
825000,1.2148488,0.00017661326,1.4815778947465716,143.84375,0.78020275,1.4815779034397565
830000,1.1372582,0.0001758745,1.482358043677286,157.4516129032258,0.7498732,1.4819356648096194
835000,1.147384,0.0001751278,1.485933421285567,158.21212121212122,0.7849191,1.4862009460407801
840000,1.0931177,0.00017437371,1.463493761763155,146.14705882352942,0.8068657,1.4634937531424357
845000,1.0859601,0.00017362667,1.4915337469871053,127.34285714285714,0.78826016,1.4915337276245866
850000,1.111228,0.00017287773,1.4808245698162006,151.16666666666666,0.83894336,1.4803957440491233
855000,1.0599529,0.00017211765,1.4818407754241005,143.55555555555554,0.8287611,1.4822189579340252
860000,1.0554972,0.0001713828,1.485090025408366,116.3076923076923,0.883599,1.487324507139321
865000,1.031885,0.00017064411,1.4845643518561618,144.0909090909091,0.82511663,1.482232216546046
870000,1.023896,0.00016987568,1.4773175597956054,141.52631578947367,0.8623014,1.477317559122304
875000,1.0305703,0.0001691168,1.4860264307993323,132.84615384615384,0.8109984,1.4860634361761378
880000,0.9713944,0.00016837096,1.4768531133295255,121.82051282051282,0.88170266,1.4765576929665911
885000,0.9660374,0.00016763754,1.4837268513943902,131.3684210526316,0.8686397,1.4840451596448054
890000,0.9603146,0.00016687831,1.4881396240500093,117.02380952380952,0.9226941,1.4879847120311929
895000,0.98016435,0.00016611443,1.485256992720762,117.95121951219512,0.9340083,1.4854768386021966
900000,0.95377743,0.00016536178,1.4857656185135744,116.1219512195122,0.8884093,1.4857656183061985
905000,0.9539975,0.00016461684,1.4743513742671939,133.97560975609755,0.89576375,1.4737862623063847
910000,0.9148859,0.00016387548,1.491279954776008,108.02325581395348,0.90292835,1.4914089520250193
915000,0.9220426,0.00016313547,1.4792403119682211,115.31818181818181,0.9344826,1.4812186956189053
920000,0.90140945,0.00016239606,1.4833900344563928,117.5952380952381,0.91727793,1.4809994475383843
925000,0.8872798,0.00016165458,1.4874596976685097,137.17142857142858,0.8895218,1.4876573141922966
