Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length
30000,-0.050837647,1.4190402,0.0002984906,0.001138327,0.019711534,-13.81636138819158,3520.0
40000,-0.10677676,1.4192178,0.0002978716,0.002431411,0.023550987,-19.02033502422273,3908.5
50000,-0.1574394,1.4194683,0.0002972646,0.0011488252,0.020047152,-12.959435334138107,4059.5
60000,-0.20328656,1.419686,0.00029667423,0.0032678172,0.012122542,-7.172260168629388,1670.6666666666667
70000,-0.25667244,1.4199567,0.0002960945,0.003819632,0.017997542,-8.892744689807296,1620.8
80000,-0.31369188,1.4202373,0.0002954893,0.0012976507,0.016087892,-8.80560913309455,1661.0
90000,-0.3472509,1.4202348,0.00029488016,0.0015525077,0.017523753,-16.66673052869737,3449.3333333333335
100000,-0.31249964,1.4201965,0.00029428105,0.0013853487,0.013572365,-10.594143454218283,3234.0
110000,-0.30705932,1.4201105,0.00029369933,0.0013262737,0.019931473,-10.937213346362114,2340.0
120000,-0.32817695,1.4198271,0.00029311178,0.0014919086,0.016207805,-11.970744607038796,3438.8
130000,-0.31168488,1.419255,0.00029250854,0.0024343722,0.018552907,-11.469941142946482,2514.0
140000,-0.26578066,1.4185257,0.00029189503,0.0022103258,0.015718415,-9.069954780256376,2409.6
150000,-0.2870172,1.4179134,0.0002913015,0.005418456,0.014566493,-6.792841372196563,2160.125
160000,-0.3213325,1.4175247,0.0002906983,0.004026962,0.011816772,-4.626751179973196,1278.2857142857142
170000,-0.31388965,1.4172095,0.00029009263,None,None,-4.105186019651592,1177.4
180000,-0.29752937,1.4170932,0.00028949426,0.0017688689,0.0116980355,-3.5951418336480856,1078.0
190000,-0.27799565,1.4166915,0.0002888896,0.0007500314,0.009674272,-14.75722949532792,3720.0
200000,-0.27409548,1.4162415,0.0002882921,0.0008047578,0.016028238,None,None
210000,-0.2892204,1.4155633,0.0002876979,0.0002567913,0.01686848,-12.776011189399288,4954.6
220000,-0.31169596,1.4151353,0.00028709802,0.0008320084,0.009745459,-13.378526661215195,4652.333333333333
230000,-0.32493848,1.4151144,0.00028650273,0.0014430623,0.0157539,-10.208991599269211,2283.0
240000,-0.3384644,1.4153882,0.00028589444,0.0010244692,0.014427227,-10.03388428206866,2487.0
250000,-0.3555298,1.4156358,0.00028527697,0.0018871033,0.010668952,-9.65991646843031,2035.0
260000,-0.3539691,1.4155884,0.0002846922,0.0012426224,0.02043209,-8.3179818635496,2162.0
270000,-0.34248543,1.4154203,0.0002840972,0.0009218768,0.010465638,-6.847964128712192,1635.5
280000,-0.34444544,1.4153006,0.00028348702,0.00042647478,0.016113617,None,None
290000,-0.32813796,1.4151591,0.00028289057,0.00076838525,0.015345123,-13.276355181471445,3883.3333333333335
300000,-0.30341694,1.4148409,0.00028229353,0.0013301257,0.01347262,-8.674610484857112,2458.0
310000,-0.28245246,1.4144886,0.00028169708,0.0012881553,0.020292627,-7.124294100096449,2639.3333333333335
320000,-0.2688552,1.4144295,0.00028109975,0.0006724493,0.012335223,None,None
330000,-0.30577743,1.4146657,0.00028050237,0.0012147444,0.022136305,-14.117811676735679,4314.666666666667
340000,-0.3067564,1.4149529,0.00027989957,0.0020861314,0.018069847,-16.94975807936862,4847.0
350000,-0.31766877,1.415216,0.00027928935,0.0011714584,0.021113655,-9.710395682393573,3613.2
360000,-0.29550546,1.4154233,0.00027870038,0.00011053406,0.013044095,-12.03886141628027,4981.0
370000,-0.3295018,1.4152428,0.0002780974,0.0021602958,0.01923137,-10.941493178873012,3333.3333333333335
380000,-0.2891582,1.414816,0.00027749562,0.00030817598,0.018782713,-15.17631327547133,4507.5
390000,-0.22390994,1.4148251,0.00027690845,0.00117344,0.01880935,-11.589749714437252,4653.0
400000,-0.21833941,1.4149753,0.00027631372,0.0011444197,0.014238102,-7.79176238978592,3472.6666666666665
410000,-0.28727344,1.4151698,0.0002756915,0.0011859501,0.013493393,-9.81289877439849,3744.25
420000,-0.28562322,1.4154611,0.00027507535,0.0013745066,0.01573385,-8.73152925974379,2302.6666666666665
430000,-0.2778486,1.4157842,0.0002744971,7.9653626e-05,0.014005529,None,None
440000,-0.27098188,1.4157128,0.0002738954,0.0024831237,0.01534714,-12.342432718335962,3532.5
450000,-0.21363759,1.4157562,0.00027329035,None,None,-9.798561635427177,4981.0
460000,-0.2650186,1.4157358,0.00027270743,7.980831e-05,0.018663438,-10.454396275570616,3381.6666666666665
470000,-0.2703982,1.4158319,0.00027211462,0.0007399745,0.014765309,-9.890468950761715,4287.5
480000,-0.26639968,1.4157028,0.00027150335,0.0002971978,0.014293308,-18.44251111149788,4981.0
490000,-0.30973342,1.4158779,0.00027090433,0.00033010205,0.01448291,-13.829874741844833,4341.333333333333
500000,-0.30264476,1.4158865,0.0002702936,0.00019359101,0.01245961,-15.746914797346108,4981.0
510000,-0.26348647,1.416009,0.00026968966,8.7614055e-05,0.019526282,-13.763501360313967,4981.0
520000,-0.21830015,1.415659,0.000269125,8.248903e-05,0.016228069,-5.7840078512672335,2628.0
530000,-0.24337319,1.4152982,0.00026852143,0.0012735394,0.018067842,-9.631476722075604,3525.1666666666665
540000,-0.20911734,1.4152896,0.000267912,0.0041838414,0.0120623205,-5.53426534862956,2348.0
550000,-0.2800387,1.4156272,0.00026730754,0.00030139709,0.013857031,-6.466189891119332,2819.6666666666665
560000,-0.2767609,1.4161289,0.00026669522,0.0020950758,0.01687825,-5.982629626477137,2040.0
570000,-0.2130007,1.4163276,0.00026609833,0.0016161996,0.022496562,-10.347252980107442,3654.5
580000,-0.2815428,1.4162909,0.0002655032,0.0006847423,0.016460907,-10.119387277169153,3655.5
590000,-0.34760356,1.4161729,0.00026490144,0.00029870062,0.013362988,-11.514224715996534,4110.0
600000,-0.31691882,1.4159024,0.0002643006,0.0005550217,0.016390245,-14.276368712075055,4399.0
610000,-0.26394516,1.4155258,0.0002637051,7.240271e-05,0.015488335,-12.695440443232656,4981.0
620000,-0.25481686,1.4154359,0.00026309464,0.0003495138,0.018187668,-12.524805984576233,4500.5
630000,-0.27194607,1.4155418,0.00026248794,0.00074560684,0.012907218,-8.893381114955991,3509.4
640000,-0.32551393,1.4156046,0.0002618915,0.0009902287,0.0066695553,-9.29580844154892,3649.3333333333335
650000,-0.3311838,1.4157106,0.00026129387,0.0015141667,0.01607735,-7.8583477698965,2160.4
660000,-0.29760352,1.4156607,0.0002607002,0.0012345589,0.018063562,-7.085244834655896,2237.75
670000,-0.28720298,1.4154474,0.0002600965,0.00083417905,0.013788821,-5.765468983910978,1874.0
680000,-0.23986636,1.4152931,0.00025950672,0.00018501948,0.01982853,-20.892240971326828,4981.0
690000,-0.24431393,1.4152014,0.00025891245,0.0012194949,0.014098516,-7.899668022291735,3797.5
700000,-0.29577592,1.4148197,0.0002583121,0.0017562531,0.0151870595,-10.628042872762308,4905.0
710000,-0.31101614,1.4146237,0.0002576985,0.0005790809,0.020629643,-13.022027626012763,4773.666666666667
720000,-0.25741768,1.4146,0.0002570927,5.8656333e-05,0.016896423,-12.921466316096485,4981.0
730000,-0.23395185,1.4144185,0.0002565041,8.2006976e-05,0.021072907,-10.029371208394878,4587.5
740000,-0.25467497,1.4144381,0.00025590634,None,None,-12.793611099861058,4433.333333333333
750000,-0.22327253,1.4148108,0.00025530398,0.0018293223,0.015511011,-5.656117565464228,2577.0
760000,-0.26873764,1.4150842,0.0002546981,0.00046885334,0.013303029,-8.746538947530402,2983.3333333333335
770000,-0.2599661,1.415411,0.00025411803,0.00082745246,0.014715605,None,None
780000,-0.2246151,1.4154869,0.00025352134,5.6105953e-05,0.017194083,-10.40473524442253,4981.0
790000,-0.2442415,1.4150981,0.0002529022,6.108111e-05,0.021957135,-11.728243021760136,4981.0
800000,-0.24112672,1.4146731,0.00025228912,4.7806316e-05,0.016803654,-10.651438376866281,4981.0
810000,-0.2663538,1.4140416,0.00025169973,0.00017057983,0.015907027,-9.168451475910842,2904.5
820000,-0.21432349,1.4135921,0.0002511012,5.9671675e-05,0.019932138,-9.375619701575488,4143.5
830000,-0.20826754,1.4133886,0.00025049155,0.00022642392,0.012179026,-13.07826526366019,4981.0
840000,-0.18393043,1.4132613,0.0002498895,5.464664e-05,0.01741949,-8.146196157496888,4430.0
850000,-0.21753855,1.4132088,0.0002492917,0.0006656808,0.013986837,-9.40032881879597,4227.0
860000,-0.25086793,1.4131088,0.00024870486,0.0007307842,0.013004342,-9.175795964663848,3733.5
870000,-0.2121764,1.4132378,0.0002481046,0.00043737926,0.017901791,-9.66954995226115,4226.5
880000,-0.2769152,1.4135753,0.0002475001,0.00019536239,0.0100443605,-9.654230305808596,3584.6666666666665
890000,-0.22009507,1.4137787,0.00024690802,0.00059056113,0.013082043,-5.543629376217723,1013.0
900000,-0.20135671,1.4139589,0.00024630854,0.00021846432,0.010505251,-10.722003422910348,4981.0
910000,-0.21687886,1.4140698,0.00024570618,7.052063e-05,0.018081782,-8.476483512087725,4981.0
920000,-0.20252678,1.4139599,0.00024510102,8.931882e-05,0.018144647,-7.575165556976572,4981.0
930000,-0.21118191,1.4138979,0.00024450044,6.404075e-05,0.018252252,-8.66265815589577,4981.0
940000,-0.22589158,1.414022,0.0002438954,0.00059231755,0.016871138,-13.183007267458985,4657.666666666667
950000,-0.18410845,1.4141741,0.00024329829,5.3857777e-05,0.020212548,-11.572543245973065,4981.0
960000,-0.24489559,1.414268,0.00024270223,0.00028244322,0.011373803,-11.79081921748002,4568.75
970000,-0.21785876,1.4144367,0.0002421036,0.00046513331,0.014845507,-8.432320675812662,3173.0
980000,-0.22279385,1.4149178,0.00024149951,0.0004188329,0.014613415,-11.166258786455728,4469.0
990000,-0.24889283,1.4152921,0.00024089903,7.4739255e-05,0.011906419,-10.75911149312742,4981.0
1000000,-0.22036159,1.4152166,0.00024030608,0.00021375973,0.016234392,-11.816978282353375,4652.5
1010000,-0.24957782,1.4153085,0.00023970968,0.00013219292,0.014823193,-10.461827931925654,3261.5
1020000,-0.19808517,1.4158762,0.00023910821,8.557474e-05,0.02241872,None,None
1030000,-0.21455932,1.4160024,0.00023849706,None,None,-5.395800250310761,4981.0
1040000,-0.2350509,1.4159801,0.00023789695,0.00012734707,0.017383378,-11.414094498419823,4407.0
1050000,-0.2776762,1.4161671,0.0002373042,0.0002449287,0.015304522,-10.216455578881627,4102.333333333333
1060000,-0.270523,1.4161866,0.00023669555,0.0010265243,0.017716946,-11.74647454287333,3386.0
1070000,-0.21704559,1.415744,0.00023609244,0.0005788046,0.013879003,None,None
1080000,-0.30429226,1.415227,0.0002354972,0.00078645337,0.016739784,-9.857034852204379,4981.0
1090000,-0.2687525,1.4148388,0.0002348997,0.000121225974,0.01900814,-9.446709561704969,4981.0
1100000,-0.26087776,1.4148086,0.00023430472,0.00016935074,0.019949287,-17.276620029782254,4981.0
1110000,-0.24156961,1.4147142,0.00023371466,0.00028855837,0.019294284,-4.530884957348462,3417.5
1120000,-0.26378936,1.41443,0.00023309609,0.0014631768,0.017162317,-8.82159885513829,3111.5
1130000,-0.27727142,1.4141363,0.00023249653,0.00088129763,0.015173241,-13.805084782652557,4766.0
1140000,-0.2769143,1.4141003,0.00023189816,0.0013938801,0.019291103,-10.26332899974659,3857.5
1150000,-0.21999598,1.4142578,0.00023129034,0.002447073,0.016651655,-10.915074144909159,4222.6
1160000,-0.1957047,1.4143546,0.00023070356,0.0006142782,0.018786924,-1.039500730112195,1534.0
1170000,-0.21281007,1.4144645,0.00023010149,0.001147425,0.016440393,-8.227717084565665,3664.8
1180000,-0.21347615,1.4146901,0.00022949558,0.0021171405,0.023887137,None,None
1190000,-0.1702359,1.4148774,0.0002288968,0.00041674107,0.014371652,-8.683463147288421,4981.0
1200000,-0.177628,1.4149512,0.00022830223,0.0018846696,0.013969403,-9.77794560987968,4507.0
1210000,-0.23291512,1.4149711,0.00022769549,0.0020990435,0.014279604,-11.197755020228215,4842.0
1220000,-0.24810044,1.4149181,0.00022710199,0.0013027483,0.014387571,-7.340321423354908,4524.0
1230000,-0.26094422,1.414659,0.00022651591,0.001723733,0.01668284,-1.8582431649556383,1527.5
1240000,-0.25544593,1.4145268,0.00022589807,0.00093184126,0.015989833,-10.92031789990142,3761.2
1250000,-0.1819474,1.4143342,0.00022528658,0.00051408354,0.0197434,None,None
1260000,-0.19429572,1.4141622,0.00022469246,0.0008540162,0.019837284,-10.693733572610654,4457.75
