Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
5000,1.7909553,0.0002996607,-0.14415616,-1.0790476170507082,196.57142857142858,-1.0786799795925617,0.018592704,0.06515774
10000,1.7735044,0.00029886139,-0.25148264,-1.0732842084774012,260.57894736842104,-1.0739399783313275,0.006987477,0.07120974
15000,1.7360526,0.00029811676,-0.1355763,-1.1207333302833529,299.9166666666667,-1.1207333045701187,0.004985453,0.06806722
20000,1.6766453,0.00029737342,0.012111694,-1.1757499954037485,498.5,-1.1757499687373638,0.0048913243,0.05988711
25000,1.6251177,0.0002966182,-0.044460636,-1.2673999932449078,664.0,-1.2673999443650246,0.0019209485,0.077287614
30000,1.5601714,0.0002958672,-0.06939238,-1.2759999930276535,685.0,-1.2759999185800552,0.0012258604,0.06486707
35000,1.537307,0.00029511828,-0.04795246,None,None,None,0.00060699746,0.06686185
40000,1.5845267,0.00029436903,-0.023753684,None,None,None,0.001093504,0.06724152
45000,1.6467774,0.00029361615,-0.02153974,None,None,None,0.00040013916,0.06674064
50000,1.6656469,0.00029287187,-0.020285117,None,None,None,0.000502887,0.0663129
55000,1.7189589,0.00029212193,-0.04475958,-2.654799958196236,4105.0,-2.6547995805740356,0.0012638612,0.06575386
60000,1.7037894,0.00029136383,-0.033176545,-1.9999999494757503,4961.0,-1.9999995136167854,0.00055481447,0.06668374
65000,1.7008909,0.00029061243,-0.042865925,-2.086333288005941,4762.0,-2.086332915816456,0.0011964504,0.07214277
70000,1.7314136,0.00028986792,0.013713819,-1.5999999570776708,4961.0,-1.5999996268656105,0.00042545825,0.0713817
75000,1.6970931,0.00028911643,-0.025358118,None,None,None,0.00035028477,0.06200941
80000,1.6606869,0.00028836727,-0.039958876,None,None,None,0.00020816745,0.07504049
85000,1.7097208,0.00028762151,-0.017024692,None,None,None,0.0001965565,0.0664112
90000,1.7452116,0.00028687002,-0.0186935,-2.0827999713947065,3182.0,-2.0827997624874115,0.0002028059,0.074585274
95000,1.6808475,0.00028612724,-0.022426791,-2.2463999685132876,3092.5,-2.246399663388729,0.0020880082,0.06496612
