Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,0.06729247,2.484674,0.00029658587,-30.358937348394345,4961.0,-32.06437970660627
65000,0.038301997,2.4846706,0.00029626107,None,None,-21.831725134514272
70000,0.0143812,2.484684,0.00029593846,None,None,None
75000,-0.014401259,2.4846768,0.000295662,None,None,None
80000,-0.0059431423,2.4846828,0.00029533947,None,None,None
85000,-0.034836013,2.4844568,0.00029501691,None,None,None
90000,-0.034527343,2.4843075,0.0002947404,None,None,None
95000,-0.040487442,2.4843357,0.00029446394,None,None,None
100000,-0.026949378,2.4842892,0.00029414138,None,None,None
105000,-0.0076179816,2.484289,0.0002938188,None,None,None
110000,-0.0012149647,2.4842901,0.00029354234,None,None,None
115000,-0.022894192,2.4842958,0.00029326582,None,None,None
120000,0.01056051,2.4843018,0.00029298518,-31.596622983653408,4961.0,-24.249090410768986
125000,0.08390612,2.4838295,0.00029266032,None,None,-53.639220494776964
130000,-0.08072432,2.4826193,0.00029233776,None,None,None
135000,-0.25276273,2.482623,0.00029206133,None,None,None
140000,-0.025227293,2.4825184,0.00029173872,None,None,None
145000,-0.083817445,2.4826422,0.0002914162,None,None,None
150000,-0.15660071,2.4826846,0.0002911397,None,None,None
155000,-0.11717653,2.4825945,0.00029086322,None,None,None
160000,-0.1429129,2.48256,0.00029054063,None,None,None
165000,-0.00012689906,2.4823804,0.00029021807,None,None,None
170000,-0.01730748,2.4780579,0.00028994164,None,None,None
175000,-0.115954496,2.4781816,0.00028966513,None,None,None
180000,0.046418358,2.4786286,0.00028938445,-30.266529757296667,4961.0,-22.468648155885084
185000,-0.22557704,2.4779837,0.00028905965,None,None,-41.183563866093756
190000,-0.15221912,2.478394,0.00028873704,None,None,None
195000,-0.222587,2.4788148,0.0002884606,None,None,None
200000,-0.15351824,2.4780781,0.00028818412,None,None,None
205000,-0.092791244,2.478164,0.00028786153,None,None,None
210000,-0.15874171,2.4737825,0.00028753898,None,None,None
215000,-0.05251891,2.4719174,0.0002872625,None,None,None
220000,-0.20998608,2.471825,0.00028693996,None,None,None
225000,-0.048857976,2.472533,0.00028661735,None,None,None
230000,-0.20627132,2.4721828,0.00028634092,None,None,None
235000,-0.15855417,2.4723997,0.00028606443,None,None,None
240000,-0.15991855,2.4719887,0.00028578372,-30.927088183777716,4961.0,-30.852340644535918
245000,-0.22687301,2.4715154,0.0002854589,None,None,-31.001835874592263
250000,-0.08801996,2.4691613,0.0002851363,None,None,None
255000,-0.2279139,2.4597712,0.00028485988,None,None,None
260000,-0.10322352,2.4622111,0.00028458334,None,None,None
265000,-0.13350897,2.4619017,0.00028426084,None,None,None
270000,-0.23082393,2.4600644,0.00028393828,None,None,None
275000,-0.19560942,2.4605527,0.00028366176,None,None,None
280000,-0.20324278,2.461027,0.00028333924,None,None,None
285000,-0.21768777,2.4619055,0.00028301668,None,None,None
290000,-0.1006929,2.4620192,0.0002827402,None,None,None
295000,-0.10233276,2.4596205,0.00028246368,None,None,None
300000,-0.21611875,2.454032,0.00028218303,-23.247635412612,4961.0,-22.387180101498963
305000,-0.10012261,2.4567719,0.0002818582,None,None,-23.862246158399753
310000,-0.24029796,2.454592,0.00028153558,None,None,None
315000,-0.1752648,2.456323,0.00028125916,None,None,None
320000,-0.10608179,2.458009,0.00028098267,None,None,None
325000,-0.18817838,2.455626,0.00028066008,None,None,None
330000,-0.107103825,2.457268,0.00028033755,None,None,None
335000,-0.13493235,2.4573529,0.00028006104,None,None,None
340000,-0.103019215,2.4575903,0.00027973854,None,None,None
345000,0.06840636,2.4590566,0.00027941592,None,None,None
350000,-0.05848206,2.4603984,0.00027913947,None,None,None
355000,0.036006887,2.4575217,0.00027886298,None,None,None
360000,-0.07624696,2.4547207,0.0002785823,-8.738817738407912,4961.0,-12.19395042086641
365000,-0.05782388,2.4568272,0.00027825747,None,None,-7.587106702435348
370000,0.054078247,2.4569838,0.00027793492,None,None,None
375000,-0.05568064,2.4519496,0.00027765843,None,None,None
380000,-0.028989792,2.4383214,0.0002773819,None,None,None
385000,-0.0010285354,2.4433267,0.00027705936,None,None,None
390000,0.07483865,2.4486508,0.00027673686,None,None,None
395000,-0.079599395,2.4382524,0.00027646034,None,None,None
400000,-0.026320396,2.4381666,0.00027618386,None,None,None
405000,-0.16923669,2.437627,0.0002758613,None,None,None
410000,-0.056527495,2.4391415,0.00027553877,None,None,None
415000,0.005459585,2.4430826,0.00027526225,None,None,None
420000,-0.028438086,2.4462128,0.00027498155,-3.6399021389661357,4961.0,-2.6341925989836454
425000,0.03318477,2.4545991,0.00027465678,None,None,-3.841044081747532
430000,0.07556481,2.4583597,0.00027433416,None,None,None
435000,0.14508809,2.4533713,0.0002740577,None,None,None
440000,-0.07264905,2.449646,0.00027378122,None,None,None
445000,-0.01770948,2.4478447,0.00027345866,None,None,None
450000,-0.07914147,2.447625,0.0002731361,None,None,None
455000,0.11428678,2.451426,0.00027285962,None,None,None
