Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
5000,1.4183586,0.00029987338,0.06590913,0.0040380615,0.07846705,-0.8111111231976085,331.0,-0.8111111314760314
10000,1.4160728,0.00029956645,-0.006055839,0.0019903285,0.07091724,-1.0333333487312,330.5,-1.0333333611488342
15000,1.4151869,0.00029927574,-0.07289436,0.0019155799,0.06276613,-1.0611111269228988,330.0,-1.0764706099734587
20000,1.4149191,0.00029897323,-0.13098386,0.0014859139,0.065923154,-1.0222222374545202,331.0,-1.0000000171363355
25000,1.4140493,0.00029866627,-0.16957422,0.0014463264,0.06776233,-0.9333333472410837,330.5,-0.9333333551055856
30000,1.4133847,0.00029837555,-0.18615094,0.0014353406,0.0647394,-0.9500000141561031,330.0,-0.9352941368432606
35000,1.413437,0.00029807305,-0.21786413,0.0014240461,0.0732827,-1.0111111261778407,331.0,-1.0300000190734864
40000,1.4149468,0.0002977661,-0.24254793,0.0013823849,0.07860369,-0.9222222359644042,330.5,-0.9222222388618522
45000,1.4153693,0.00029747537,-0.251245,0.001217538,0.06626492,-0.8666666795810064,330.0,-0.8529411975075217
50000,1.4155326,0.00029717287,-0.2530009,0.0013471837,0.06885632,-0.8888889021343656,331.0,-0.9100000143051148
55000,1.4160882,0.00029686594,-0.26828235,0.0013332156,0.0680922,-1.0222222374545202,330.5,-1.0222222465607855
60000,1.4160664,0.0002965752,-0.2759859,0.0012581942,0.07912183,-0.8888889021343656,330.0,-0.8764706122524598
65000,1.4163809,0.0002962727,-0.26756322,0.0012720372,0.07302784,-0.9222222359644042,331.0,-0.9400000154972077
70000,1.4163753,0.00029596573,-0.27106124,0.0012069126,0.07296885,-0.8888889021343656,330.5,-0.8888889095849462
75000,1.4156661,0.00029567498,-0.27831805,0.0011042433,0.06771589,-0.8611111239426665,330.0,-0.8588235496598131
80000,1.4151994,0.00029537248,-0.27934742,0.0011229989,0.0730646,-0.8555555683043268,331.0,-0.8600000128149986
85000,1.4153634,0.00029506555,-0.2881707,0.0014006345,0.06255299,-0.9555555697944429,330.5,-0.9555555751754178
