Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2370000,1.3551837,0.00015790538,-0.05008575,-0.4916666739930709,249.0,-0.4714285837752478
2375000,1.3551837,0.00015767913,-0.048211884,-0.5000000074505806,248.0,-0.5058823644238359
2380000,1.3551837,0.00015736252,-0.048357703,-0.36666667213042575,248.0,-0.36666667523483437
2385000,1.3551837,0.00015704842,-0.04584784,-0.3458333384866516,248.0,-0.3473684289737752
2390000,1.3551837,0.00015677912,-0.04508857,-0.283333337555329,248.0,-0.3000000066616956
2395000,1.3551457,0.00015646253,-0.04426647,-0.22500000335276127,248.0,-0.2250000045945247
2400000,1.3550359,0.00015614841,-0.04751303,-0.15833333569268385,248.0,-0.17368421350654803
2405000,1.3550359,0.00015587911,-0.046064805,-0.15000000223517418,248.0,-0.13529412010136774
2410000,1.3550359,0.0001555625,-0.04418782,-0.15416666896392903,248.0,-0.15416666958481073
2415000,1.3550359,0.0001552484,-0.043971933,-0.12500000186264515,248.0,-0.12631579135593615
2420000,1.3550359,0.00015497913,-0.042788513,-0.18333333606521288,248.0,-0.16470588524551952
2425000,1.3545774,0.00015466253,-0.04090684,-0.09583333476136129,248.0,-0.09583333538224299
2430000,1.3544303,0.00015434815,-0.042065214,-0.13333333532015482,248.5,-0.13157894932910016
2435000,1.3544303,0.00015407841,-0.04185743,-0.09166666803260644,248.0,-0.10588235451894648
2440000,1.3544303,0.00015376181,-0.039878793,-0.07083333438883226,248.0,-0.07083333438883226
2445000,1.3544302,0.00015344769,-0.040987,-0.09583333476136129,248.0,-0.08421052835489574
2450000,1.3540368,0.00015317842,-0.040613882,-0.02500000037252903,248.0,-0.0588235302883036
2455000,1.3532711,0.00015286182,-0.039936412,-0.07083333438883226,248.0,-0.07083333438883226
2460000,1.353271,0.00015254768,-0.040122077,-0.08333333457509677,248.0,-0.0789473695974601
2465000,1.353271,0.0001522784,-0.039112736,-0.08333333457509677,248.0,-0.0882352954324554
2470000,1.3532711,0.00015196181,-0.041217983,-0.10000000149011612,248.0,-0.10000000149011612
2475000,1.353271,0.00015164768,-0.039716844,-0.0875000013038516,248.0,-0.0789473695974601
2480000,1.3524659,0.00015137842,-0.03945398,-0.09166666803260644,248.0,-0.10000000149011612
2485000,1.3524657,0.00015106182,-0.039505444,-0.06250000093132257,248.0,-0.06250000093132257
2490000,1.3524657,0.00015074745,-0.03943022,-0.04583333401630322,248.5,-0.04210526378531205
2495000,1.3524659,0.00015047767,-0.04023851,-0.08333333457509677,248.0,-0.07647058937479467
2500000,1.3524657,0.00015016108,-0.038923908,-0.07083333438883226,248.0,-0.07083333438883226
2505000,1.3520429,0.00014984698,-0.039934874,-0.09166666803260644,248.0,-0.08947368593592393
2510000,1.3518373,0.00014957771,-0.03890535,-0.07500000111758709,248.0,-0.08235294284189448
2515000,1.3518373,0.00014926109,-0.037366945,-0.07083333438883226,248.0,-0.07083333469927311
2520000,1.3518373,0.00014894696,-0.037150044,-0.06250000093132257,248.0,-0.052631579731640066
2525000,1.3518373,0.00014867769,-0.039066117,-0.08333333457509677,248.0,-0.0882352954324554
2530000,1.3516376,0.00014836108,-0.038832627,-0.09583333476136129,248.0,-0.09583333476136129
2535000,1.3510598,0.00014804695,-0.0370906,-0.07916666784634192,248.0,-0.07894736998959591
2540000,1.3510599,0.0001477777,-0.03625751,-0.06666666766007741,248.0,-0.07058823634596433
2545000,1.3510599,0.00014746109,-0.03681967,-0.09583333476136129,248.0,-0.09583333507180214
2550000,1.3510599,0.00014714671,-0.036178328,-0.058333334202567734,248.5,-0.06842105365113209
2555000,1.3510599,0.00014687696,-0.035900094,-0.08333333457509677,248.0,-0.06470588331713396
2560000,1.3506428,0.00014656037,-0.03625546,-0.05000000074505806,248.0,-0.05000000074505806
2565000,1.3505087,0.00014624624,-0.036300637,-0.07916666784634192,248.0,-0.07368421162429609
2570000,1.3505088,0.00014597698,-0.036457933,-0.08333333457509677,248.0,-0.0882352954324554
2575000,1.3505088,0.00014566036,-0.035745047,-0.0875000013038516,248.0,-0.0875000013038516
2580000,1.3505087,0.00014534625,-0.03697381,-0.10416666821887095,248.0,-0.12105263338277214
2585000,1.3502388,0.00014507696,-0.0358549,-0.058333334202567734,248.0,-0.05294117725947324
2590000,1.3497131,0.00014476036,-0.035436895,-0.07916666784634192,248.0,-0.07916666784634192
2595000,1.3497132,0.00014444625,-0.03581913,-0.05000000074505806,248.0,-0.05789473770480407
2600000,1.3497132,0.00014417699,-0.034662038,-0.07500000111758709,248.0,-0.058823530726573044
2605000,1.3497131,0.00014386035,-0.03465827,-0.0875000013038516,248.0,-0.0875000013038516
2610000,1.3497132,0.00014354603,-0.034130134,-0.09583333476136129,248.5,-0.10526315946328013
2615000,1.3486528,0.00014327625,-0.034972884,-0.09166666803260644,248.0,-0.08235294284189448
2620000,1.348653,0.00014295963,-0.0374951,-0.037500000558793545,248.0,-0.037500000558793545
2625000,1.3486528,0.00014264553,-0.03537481,-0.06250000093132257,248.0,-0.05789473770480407
