Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
60000,3.4645712,3.8211973,6.2599845,1.0000002e-05,-6.326375439174531,4981.0,-6.6217711852249606,651.102608491074
65000,3.767675,4.0967417,6.2554674,1.0000002e-05,None,None,-3.0770237834658474,448.9301562309265
70000,3.5078263,3.8621192,6.334313,1.0000002e-05,None,None,None,None
75000,4.3438287,4.4744754,6.282631,1.0000002e-05,None,None,None,None
80000,4.842355,4.7491956,6.361391,1.0000002e-05,None,None,None,None
85000,5.0039845,4.873752,6.4027896,1.0000002e-05,None,None,None,None
90000,5.7243414,5.430213,6.316221,1.0000002e-05,None,None,None,None
95000,6.676393,5.997411,6.503816,1.0000002e-05,None,None,None,None
100000,6.1352916,5.6426373,6.4484963,1.0000002e-05,None,None,None,None
105000,7.585626,6.770744,6.390798,1.0000002e-05,None,None,None,None
110000,8.727117,7.622396,6.34588,1.0000002e-05,None,None,None,None
115000,9.021064,7.757925,6.311252,1.0000002e-05,None,None,None,None
120000,8.464179,7.181531,6.4642215,1.0000002e-05,-4.20920009445975,4981.0,-4.352441805998255,671.99310548739
125000,8.761083,7.416158,6.479855,1.0000002e-05,None,None,-2.6335416422225535,236.15649157762527
130000,9.727608,8.130207,6.310869,1.0000002e-05,None,None,None,None
135000,11.079346,8.8511505,6.382349,1.0000002e-05,None,None,None,None
140000,10.463938,8.478164,6.304468,1.0000002e-05,None,None,None,None
145000,9.942266,7.9586935,6.3561897,1.0000002e-05,None,None,None,None
150000,12.791505,9.925343,6.3047905,1.0000002e-05,None,None,None,None
155000,12.029599,9.224022,6.54493,1.0000002e-05,None,None,None,None
160000,12.479029,9.551077,6.487207,1.0000002e-05,None,None,None,None
165000,14.423364,10.417732,6.544268,1.0000002e-05,None,None,None,None
170000,14.755075,10.554399,6.5286174,1.0000002e-05,None,None,None,None
175000,14.527209,10.383815,6.571279,1.0000002e-05,None,None,None,None
180000,16.82777,11.285398,6.591514,1.0000002e-05,-3.9964371933820075,4981.0,-3.752413578807715,494.96901563080877
185000,15.666433,10.889157,6.48368,1.0000002e-05,None,None,-6.680695960239973,104.24756115674973
190000,17.09694,11.591438,6.3387947,1.0000002e-05,None,None,None,None
195000,16.830736,11.354648,6.5241303,1.0000002e-05,None,None,None,None
200000,16.31241,10.813517,6.5688977,1.0000002e-05,None,None,None,None
205000,18.164883,11.773722,6.5167556,1.0000002e-05,None,None,None,None
210000,19.191996,12.298654,6.478398,1.0000002e-05,None,None,None,None
215000,19.03572,12.087685,6.597264,1.0000002e-05,None,None,None,None
220000,19.959476,12.129121,6.5972633,1.0000002e-05,None,None,None,None
225000,20.485767,12.296417,6.590546,1.0000002e-05,None,None,None,None
230000,21.034657,12.4458885,6.6011944,1.0000002e-05,None,None,None,None
235000,21.945532,12.613039,6.594957,1.0000002e-05,None,None,None,None
240000,22.762314,13.119418,6.4631324,1.0000002e-05,-1.713265693895058,4981.0,-1.445168818775776,404.9999975074421
245000,22.024109,12.640894,6.563047,1.0000002e-05,None,None,-4.662332002772018,106.609349578619
250000,23.285402,13.173813,6.524515,1.0000002e-05,None,None,None,None
255000,22.696789,12.979304,6.516569,1.0000002e-05,None,None,None,None
260000,24.643932,13.434362,6.5546,1.0000002e-05,None,None,None,None
265000,25.221931,13.369133,6.6544595,1.0000002e-05,None,None,None,None
270000,24.957645,13.1915655,6.7526207,1.0000002e-05,None,None,None,None
275000,26.021946,13.650583,6.636839,1.0000002e-05,None,None,None,None
280000,27.128586,13.893704,6.5224175,1.0000002e-05,None,None,None,None
