Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189384,0.00029970743,-1.008633884793412,53.65573770491803,-0.051477883,-1.0086196791994704
20000,1.4188981,0.00029909954,-1.008776702180179,53.66120218579235,-0.2813519,-1.0087601128823118
30000,1.418566,0.0002984979,-1.0085186289580121,53.86338797814208,-0.3725104,-1.0085441590658302
40000,1.4182217,0.00029789904,-1.0085710112560193,53.47540983606557,-0.46142513,-1.0085725868985953
50000,1.4182514,0.0002972979,-1.0087439536026472,54.63333333333333,-0.52807474,-1.0087671730253431
60000,1.418272,0.0002966997,-1.0089449643355133,55.089385474860336,-0.565729,-1.0089229907882347
70000,1.4182884,0.00029610228,-1.008893866341995,55.85795454545455,-0.6223035,-1.0088594296557756
80000,1.4180902,0.00029550085,-1.0090859712759401,56.97674418604651,-0.67979556,-1.0091237827788953
90000,1.4178334,0.00029490062,-1.008899906339296,56.7514450867052,-0.71004516,-1.0088968779999397
100000,1.4177223,0.00029429974,-1.0091387767650641,57.27906976744186,-0.72572327,-1.0091295782909837
110000,1.4177943,0.00029370014,-1.0088986702467924,56.54913294797688,-0.73728436,-1.008880926694484
120000,1.4177593,0.0002931008,-1.0091871166238835,57.923529411764704,-0.73940307,-1.0091980190838084
130000,1.4177951,0.00029250482,-1.010025444616622,61.5125,-0.7296653,-1.0100454457104207
140000,1.4176267,0.00029190516,-1.0094051947928078,58.44642857142857,-0.74187225,-1.0094208199353445
150000,1.4173975,0.00029130108,-1.0093582383054027,59.144578313253014,-0.7346372,-1.009343242070761
160000,1.417329,0.00029070207,-1.0098927949474734,60.96913580246913,-0.73241246,-1.0098810144412664
170000,1.4171942,0.0002901054,-1.0097693354423147,60.69135802469136,-0.7320232,-1.0097903712296192
180000,1.4168738,0.00028950363,-1.010240387003268,64.04516129032258,-0.7304515,-1.0102249647115733
190000,1.4168189,0.00028889923,-1.0102553309733049,65.11333333333333,-0.72636986,-1.0102851430311899
200000,1.4172531,0.00028830138,-1.0106119145750871,67.25342465753425,-0.7304389,-1.010567360544858
210000,1.4175957,0.0002877031,-1.01069860342814,67.0,-0.74132466,-1.0106850862503052
220000,1.4175043,0.00028710146,-1.011378841109719,70.09219858156028,-0.7259941,-1.011397195200548
230000,1.4172552,0.00028649758,-1.010553870257628,67.58219178082192,-0.74447674,-1.0105436917853683
240000,1.416968,0.00028589604,-1.0116480180590566,73.44776119402985,-0.7118044,-1.0116379696931412
250000,1.4168328,0.00028529967,-1.0121201503152406,77.21875,-0.6892688,-1.012140430510044
260000,1.4169879,0.00028469754,-1.0130123697395903,82.875,-0.6820937,-1.0130021035671235
270000,1.416914,0.00028409698,-1.01350602649332,86.55263157894737,-0.67958033,-1.0134965662370647
280000,1.4162202,0.00028350062,-1.014044520163831,91.36111111111111,-0.6735638,-1.0140520245940596
290000,1.4156806,0.0002828964,-1.0144947990428101,94.8173076923077,-0.666894,-1.0144406247597475
300000,1.4153904,0.00028229321,-1.015888873598063,103.98958333333333,-0.6546357,-1.01584750538071
310000,1.415107,0.0002816992,-1.0170800241609212,115.54651162790698,-0.6374513,-1.017108396042225
320000,1.414877,0.00028109815,-1.0171304315656677,112.01136363636364,-0.6665619,-1.017175562002442
330000,1.4147205,0.0002804981,-1.0202225214591853,139.90140845070422,-0.6141909,-1.020229888633943
340000,1.4144343,0.00027990504,-1.0220737769213883,154.9375,-0.5985785,-1.0219875946640968
350000,1.4142408,0.00027929997,-1.0255278878438843,177.9298245614035,-0.5885405,-1.0252990997804885
360000,1.4142021,0.00027869007,-0.9702729786084475,256.7631578947368,-0.44687748,-0.9705057816677972
370000,1.414061,0.00027809973,-1.0278106692534568,201.10204081632654,-0.44943216,-1.0277553083375097
380000,1.4138693,0.00027751943,-1.0310143311717819,232.30232558139534,-0.4123921,-1.0310211525343003
390000,1.4137777,0.00027691392,-1.0383038868227124,277.94117647058823,-0.31413895,-1.0380874230393342
400000,1.4137337,0.0002763033,-1.0434242672413614,286.20588235294116,-0.27087936,-1.043424259268624
410000,1.4135312,0.0002757062,-1.0370263700671785,254.025,-0.35717303,-1.0370263697113842
420000,1.4133896,0.00027509776,-1.038395810794444,279.05405405405406,-0.35139406,-1.0384280224744644
430000,1.4134715,0.00027450174,-0.9484661934140604,286.6333333333333,-0.30207363,-0.9513297450518415
440000,1.4135016,0.00027389338,-1.049635278979622,338.125,-0.22565077,-1.0496352748014033
450000,1.4135586,0.00027328846,-1.0564716501427869,386.0,-0.24042034,-1.0570411912351847
460000,1.4136544,0.00027268127,-1.0561309632267457,340.81481481481484,-0.22027795,-1.055634604900011
470000,1.4137664,0.00027207503,-1.058293733966601,378.2413793103448,-0.19628336,-1.0582937330392927
480000,1.4135545,0.00027150687,-1.0575047894750382,353.88461538461536,-0.17690928,-1.0580700910836458
490000,1.4131833,0.00027090748,-1.053795223317242,314.37142857142857,-0.2091429,-1.0535468701805388
500000,1.4129025,0.00027029126,-1.04994627857355,287.1212121212121,-0.25473243,-1.0505429279397835
510000,1.4127127,0.0002696878,-1.0546146811878618,322.3333333333333,-0.2807567,-1.0541559782500067
520000,1.4124029,0.0002690843,-1.0581611032636526,351.0,-0.33067444,-1.0577732060224778
530000,1.412057,0.0002684828,-1.0554757210442662,343.7857142857143,-0.22465675,-1.0554757215348738
540000,1.4117607,0.0002678982,-1.064046497112334,397.5416666666667,-0.34828332,-1.064046489385267
550000,1.4115119,0.00026730009,-1.0578089556695582,342.6,-0.26335344,-1.0572373810513267
560000,1.4113841,0.00026670034,-1.0601538272759203,331.6896551724138,-0.29650015,-1.0606281969075402
570000,1.4113106,0.00026610988,-1.0593813626303394,355.55172413793105,-0.25965074,-1.0587919625187558
580000,1.4110136,0.00026551404,-1.0565589303916096,354.22222222222223,-0.19014807,-1.057249135969739
590000,1.4107419,0.00026489756,-1.022149053961934,367.5,-0.28641865,-1.0221490402204485
600000,1.4106426,0.000264296,-1.0621708572481294,376.96,-0.2799892,-1.0621708711981774
610000,1.4105753,0.0002637021,-1.062764747943408,378.2413793103448,-0.3470326,-1.062764741287663
620000,1.4108013,0.00026309708,-1.049411046907254,286.27777777777777,-0.28488192,-1.0494110550110538
630000,1.4109969,0.00026249755,-1.049195320028553,289.94444444444446,-0.31108707,-1.04946311882564
640000,1.4109938,0.0002618905,-1.0454150759615004,295.35483870967744,-0.36853126,-1.0452403104281984
650000,1.4111158,0.00026129928,-1.050849196046681,316.48387096774195,-0.38207,-1.0509204025069872
660000,1.4110049,0.00026069945,-1.0507094827110202,325.8787878787879,-0.31711674,-1.0502445044165307
670000,1.4107269,0.00026009616,-1.0463680243154876,288.1212121212121,-0.20864923,-1.046888304326464
680000,1.4106443,0.00025949712,-1.0551435497001311,332.9655172413793,-0.24271788,-1.0552075669568564
690000,1.4104578,0.0002589081,-1.0434197210723402,284.14285714285717,-0.2805695,-1.0436955876648426
700000,1.4102212,0.0002583056,-0.9463093823598077,325.1666666666667,-0.31182197,-0.9463093850761652
710000,1.4098488,0.00025769428,-0.9429511859858134,356.42857142857144,-0.28072628,-0.942951177845576
720000,1.4096301,0.0002571007,-1.0449482508140198,331.62068965517244,-0.27156687,-1.044948230722341
